wave,flux,err,fit
810.348,-0.299327,0.871631,-1141.132346888680
810.522,-0.297130,0.864333,-1331.084627425667
810.696,-0.294952,1.06695,-1505.249337940372
810.871,0.268875,1.05984,-1656.080523758274
811.045,0.271000,1.25924,-1779.360665769298
811.219,0.825593,1.25231,-1874.325668129902
811.393,0.265989,1.24546,-1943.098450233421
811.568,0.268036,1.02897,-1989.696593692630
811.742,-0.282439,1.02229,-2018.950292901493
811.916,-0.280442,0.809279,-2035.595032137150
812.090,-0.278469,0.920804,-2043.686471250997
812.264,-0.0133707,1.10983,-2046.349643973124
812.439,0.510677,1.21977,-2045.782295243606
812.613,0.771577,1.32892,-2043.410208727907
812.787,0.767267,1.32273,-2040.090460980033
812.961,0.246998,1.19858,-2036.301660957227
813.135,-0.0101695,1.18528,-2032.294535502170
813.310,0.236679,1.17512,-2028.192723051856
813.484,0.487528,1.23773,-2024.050707677060
813.658,0.983587,1.23191,-2019.885558571896
813.832,0.483332,1.40740,-2015.719764799924
814.006,0.722767,1.40069,-2011.553765164560
814.181,0.954797,1.38969,-2007.388612512216
814.355,1.19620,1.20022,-2003.222395019315
814.529,0.711088,1.29996,-1999.057458404470
814.703,0.224247,1.11331,-1994.891881509768
814.878,-0.0138442,1.09434,-1990.726091746868
815.052,0.453035,0.982360,-1986.560936752224
815.226,0.218488,1.07948,-1982.394511549324
815.400,0.449280,0.969113,-1978.229358409384
815.574,-0.0144451,1.13950,-1974.063354359106
815.748,0.664764,1.06120,-1969.897775652339
815.923,0.661308,1.05623,-1965.732193593203
816.097,0.662803,0.948979,-1961.566615148260
816.271,-0.0133975,1.10822,-1957.400608070283
816.445,0.202733,1.02556,-1953.234390661522
816.620,0.422079,0.920558,-1949.068808239891
816.794,0.423505,0.915874,-1944.903017074597
816.968,-0.0140109,0.911245,-1940.737435897862
817.142,-0.230520,0.742572,-1936.571001372759
817.316,-0.229143,0.734911,-1932.405635726239
817.491,-0.0174103,0.730443,-1928.239416146080
817.665,-0.0160646,0.881535,-1924.073621560433
817.839,0.400224,0.969852,-1919.907828986740
818.013,0.397227,0.965537,-1915.741820939291
818.188,0.398527,0.957091,-1911.576454531564
818.362,0.188121,1.04261,-1907.410449540348
818.536,0.185227,0.882934,-1903.244443377571
818.710,0.186483,0.934510,-1899.078651294341
818.884,0.382854,1.07787,-1894.913069783739
819.059,0.577931,1.07109,-1890.747063608491
819.233,0.775706,1.06439,-1886.581484090679
819.407,0.573777,1.06045,-1882.415049003517
819.581,0.179219,1.05196,-1878.249043198186
819.755,0.369270,0.986129,-1874.083248122638
819.930,0.366631,1.03678,-1869.917239436979
820.104,0.748237,1.08715,-1865.751443687778
820.278,0.741944,1.22933,-1861.585218272298
820.452,1.11499,1.08189,-1857.419422542697
820.627,0.735635,1.07577,-1853.252774227707
820.801,0.544136,1.06792,-1849.086762789816
820.975,0.350325,0.923240,-1844.920750748859
821.149,0.351397,0.773825,-1840.754530995996
821.324,0.167041,0.905659,-1836.588307275628
821.498,0.161225,0.899872,-1832.422726101143
821.672,0.341958,0.838886,-1828.256499676418
821.846,0.521572,0.973798,-1824.090281163048
822.021,0.693444,0.970477,-1819.924693524305
822.195,0.514751,0.831887,-1815.758049916069
822.369,0.337153,0.826414,-1811.592039485119
822.543,-0.0200682,0.821002,-1807.426031456065
822.717,0.154140,0.756050,-1803.260020185281
822.892,0.327302,0.828989,-1799.093689465346
823.066,0.325144,0.901551,-1794.927786695450
823.240,0.323010,0.824622,-1790.761775553518
823.414,0.251061,0.758576,-1786.595338588158
823.589,0.330363,0.693976,-1782.428897961380
823.763,0.409213,0.602367,-1778.262567758196
823.937,0.391230,0.536085,-1774.096557874602
824.111,0.305167,0.543407,-1769.930225223075
824.285,0.301771,0.537357,-1765.764109343831
824.460,0.382948,0.531357,-1761.597673558633
824.634,0.381035,0.579942,-1757.431661078756
824.808,0.539277,0.564824,-1753.265546784208
824.982,0.376784,0.561365,-1749.099535153629
825.157,0.454791,0.583743,-1744.933205758155
825.331,0.369494,0.580908,-1740.766871968975
825.505,0.528300,0.641246,-1736.600542932965
825.679,0.759544,0.755695,-1732.434209453049
825.854,0.752639,0.906773,-1728.267769555901
826.028,1.36984,0.936850,-1724.101545854040
826.202,1.05271,1.04259,-1719.935105538199
826.376,1.20218,1.05751,-1715.768668627327
826.551,0.884779,0.949196,-1711.602761817728
826.725,0.885839,0.813784,-1707.436325342304
826.899,0.730796,0.755112,-1703.269889451220
827.073,0.501626,0.667164,-1699.103449918942
827.247,0.649881,0.534168,-1694.937334401439
827.422,0.422833,0.556301,-1690.771108981589
827.596,0.568271,0.529882,-1686.604667250339
827.770,0.417441,0.548251,-1682.438443384045
827.944,0.637233,0.522258,-1678.272219148022
828.119,0.413810,0.531259,-1674.105887004882
828.293,0.267218,0.506087,-1669.939447857901
828.467,0.191232,0.526165,-1665.772902564176
828.641,0.333261,0.522889,-1661.606463996728
828.816,0.619597,0.522791,-1657.439917528795
828.990,0.617015,0.553305,-1653.273262657216
829.164,0.613401,0.527734,-1649.106606784520
829.338,0.398833,0.526132,-1644.940164934214
829.513,0.536606,0.491067,-1640.773402220436
829.687,0.254723,0.509414,-1636.606854551267
829.861,0.531971,0.484985,-1632.440305389664
830.035,0.320701,0.493495,-1628.273651462536
830.210,0.321269,0.457889,-1624.107101621906
830.384,-0.0249168,0.465875,-1619.940343710620
