wave,flux,err,fit
810.348,-0.299327,0.871631,-469.3248344017251
810.522,-0.297130,0.864333,-547.5809507109908
810.696,-0.294952,1.06695,-619.3708776542504
810.871,0.268875,1.05984,-681.5845335284369
811.045,0.271000,1.25924,-732.4796905074044
811.219,0.825593,1.25231,-771.7346019175899
811.393,0.265989,1.24546,-800.2170031702752
811.568,0.268036,1.02897,-819.5750242186674
811.742,-0.282439,1.02229,-831.7937704129115
811.916,-0.280442,0.809279,-838.8206336912483
812.090,-0.278469,0.920804,-842.3242849416104
812.264,-0.0133707,1.10983,-843.5911014348475
812.439,0.510677,1.21977,-843.5260821437676
812.613,0.771577,1.32892,-842.7164809020466
812.787,0.767267,1.32273,-841.5155234455358
812.961,0.246998,1.19858,-840.1206004491718
813.135,-0.0101695,1.18528,-838.6348262026786
813.310,0.236679,1.17512,-837.1093726286599
813.484,0.487528,1.23773,-835.5666618474723
813.658,0.983587,1.23191,-834.0137192571586
813.832,0.483332,1.40740,-832.4598408348807
814.006,0.722767,1.40069,-830.9051380570237
814.181,0.954797,1.38969,-829.3501704828872
814.355,1.19620,1.20022,-827.7940333497293
814.529,0.711088,1.29996,-826.2377996713378
814.703,0.224247,1.11331,-824.6806324850080
814.878,-0.0138442,1.09434,-823.1227034498912
815.052,0.453035,0.982360,-821.5642317267333
815.226,0.218488,1.07948,-820.0047524193920
815.400,0.449280,0.969113,-818.4449287590392
815.574,-0.0144451,1.13950,-816.8842032830372
815.748,0.664764,1.06120,-815.3229785712276
815.923,0.661308,1.05623,-813.7610690335888
816.097,0.662803,0.948979,-812.1984889500292
816.271,-0.0133975,1.10822,-810.6351167160257
816.445,0.202733,1.02556,-809.0707889975286
816.620,0.422079,0.920558,-807.5061753922336
816.794,0.423505,0.915874,-805.9409190688519
816.968,-0.0140109,0.911245,-804.3748193204254
817.142,-0.230520,0.742572,-802.8078751581030
817.316,-0.229143,0.734911,-801.2406318676287
817.491,-0.0174103,0.730443,-799.6723596254998
817.665,-0.0160646,0.881535,-798.1034600480360
817.839,0.400224,0.969852,-796.5340646934218
818.013,0.397227,0.965537,-794.9638399533374
818.188,0.398527,0.957091,-793.3931962293827
818.362,0.188121,1.04261,-791.8216091501355
818.536,0.185227,0.882934,-790.2492228853523
818.710,0.186483,0.934510,-788.6764888191917
818.884,0.382854,1.07787,-787.1029759190293
819.059,0.577931,1.07109,-785.5286669519355
819.233,0.775706,1.06439,-783.9538581053692
819.407,0.573777,1.06045,-782.3778905350056
819.581,0.179219,1.05196,-780.8015334895900
819.755,0.369270,0.986129,-779.2246469950129
819.930,0.366631,1.03678,-777.6469267084843
820.104,0.748237,1.08715,-776.0686160853692
820.278,0.741944,1.22933,-774.4895001126214
820.452,1.11499,1.08189,-772.9097628888845
820.627,0.735635,1.07577,-771.3290488991872
820.801,0.544136,1.06792,-769.7479117369737
820.975,0.350325,0.923240,-768.1660962601510
821.149,0.351397,0.773825,-766.5835072260921
821.324,0.167041,0.905659,-765.0002340103545
821.498,0.161225,0.899872,-763.4165397698282
821.672,0.341958,0.838886,-761.8318407691917
821.846,0.521572,0.973798,-760.2466325460897
822.021,0.693444,0.970477,-758.6608826771377
822.195,0.514751,0.831887,-757.0739532025177
822.369,0.337153,0.826414,-755.4866058981495
822.543,-0.0200682,0.821002,-753.8986835373580
822.717,0.154140,0.756050,-752.3100733110892
822.892,0.327302,0.828989,-750.7205354387761
823.066,0.325144,0.901551,-749.1305410314339
823.240,0.323010,0.824622,-747.5397588330085
823.414,0.251061,0.758576,-745.9482309741672
823.589,0.330363,0.693976,-744.3559569105364
823.763,0.409213,0.602367,-742.7631531968053
823.937,0.391230,0.536085,-741.1695667051879
824.111,0.305167,0.543407,-739.5753320932763
824.285,0.301771,0.537357,-737.9803841207864
824.460,0.382948,0.531357,-736.3847304965037
824.634,0.381035,0.579942,-734.7885654325619
824.808,0.539277,0.564824,-733.1915537020916
