V,Cf,Cferr,Tau,Tau_err
-953.697,0.166618,0.371025,0.00000,1.07294
-901.141,0.149000,0.356267,0.00000,1.04821
-848.584,0.218480,0.412801,0.00000,1.13022
-795.992,0.117000,0.321579,0.00000,1.09027
-743.400,0.0950000,0.293362,0.00000,1.03349
-690.844,0.0550000,0.228094,0.00000,1.05237
-638.270,0.0290000,0.167891,0.00000,1.07731
-585.677,0.0360000,0.186383,0.00000,1.15186
-533.121,0.130294,0.335770,0.00000,1.04421
-480.565,0.142891,0.335182,0.00000,1.08080
-427.955,0.158275,0.309803,0.00000,1.17114
-375.380,0.147368,0.287329,0.0690557,1.21580
-322.824,0.176943,0.306698,0.152402,1.27328
-270.232,0.155704,0.239897,0.684232,1.06868
-217.604,0.130857,0.220992,0.712527,1.12016
-165.083,0.154166,0.313461,0.00000,1.19718
-112.509,0.0860000,0.280504,0.00000,1.18418
-59.9525,0.0490000,0.215975,0.00000,1.11262
-7.34258,0.0360000,0.186382,0.00000,1.16573
45.2317,0.154339,0.332717,0.00000,1.03943
97.8060,0.197746,0.252339,0.507643,1.13562
150.380,0.00000,0.205923,1.65345,0.328498
