wave,flux,err,fit
822.258,-0.469452,0.0640356,-449.4926432507980
822.433,-0.467354,0.0637401,-524.5642891423537
822.608,-0.465268,0.0634313,-593.4658244811515
822.783,-0.463200,0.0631173,-653.2069983167709
822.958,-0.461150,0.0627881,-702.1072973795791
823.133,-0.459117,0.0624560,-739.8482902622222
823.308,-0.457103,0.0621241,-767.2548090520627
823.483,-0.455106,0.0618075,-785.9020884331128
823.658,-0.453125,0.0614880,-797.6918638620998
823.833,-0.451162,0.0611520,-804.4920958877872
824.008,0.431726,1.58177,-807.9030956628926
824.183,1.30956,3.09390,-809.1616910304886
824.358,1.31148,3.09356,-809.1372493983529
824.533,0.432432,1.57227,-808.3948059405421
824.708,0.419490,1.54696,-807.2739832234977
824.883,0.421354,1.54662,-805.9645751134642
825.058,0.423202,1.54629,-804.5663017224216
825.233,-0.436052,0.0584489,-803.1281366143435
825.408,-0.434236,0.0581301,-801.6718959834184
825.583,-0.432434,0.0577940,-800.2039832362957
825.758,-0.430649,0.871236,-798.7335839216519
825.933,-0.394801,1.26611,-797.2613930545157
826.108,-0.359080,1.65881,-795.7864673439035
826.283,0.0859808,1.53944,-794.3099671187007
826.458,0.494599,1.83497,-792.8308317760628
826.633,0.495980,1.82825,-791.3496788803529
826.808,0.0878837,1.51773,-789.8663775283869
826.984,-0.317984,1.20881,-788.3810083438315
827.159,0.0818177,1.49856,-786.8931211815633
827.333,0.479464,1.78690,-785.4028737554925
827.509,0.480788,1.78047,-783.9107453647367
827.684,0.0836439,1.47779,-782.4167129605980
827.859,-0.311367,1.17663,-780.9200927933894
828.034,-0.310078,1.17036,-779.4214671261724
828.209,-0.308799,1.16414,-777.9201832967769
828.384,-0.307531,1.15798,-776.4172089848897
828.559,-0.273784,0.773201,-774.9116642914030
828.734,-0.240147,0.390460,-773.4042878849449
828.909,-0.206619,0.00973837,-771.8942252942383
829.084,-0.205689,0.00968871,-770.3822974622417
829.259,-0.204767,0.00963839,-768.8681597580302
829.434,0.135425,0.657360,-767.3517286022546
829.609,0.103473,1.02433,-765.8332326033791
829.784,0.0716758,1.38942,-764.3122934407421
829.959,-0.299434,1.10486,-762.7893385899924
830.134,0.430199,1.55203,-761.2644167192155
830.309,0.430807,1.54643,-759.7367856474427
830.484,0.792261,1.80911,-758.2072997550756
830.659,0.0643433,1.35079,-756.6750462947775
830.834,0.0655535,1.34532,-755.1410928601009
831.010,-0.293606,1.07166,-753.6051579378423
831.185,-0.292048,1.06629,-752.0666833465314
831.360,-0.291231,1.06097,-750.5259683196599
831.535,-0.290608,1.05569,-748.9828169986450
831.710,0.0584326,1.31030,-747.4380472603845
831.885,0.0595294,1.30511,-745.8907302313448
832.060,0.0605551,1.29996,-744.3413345059215
832.235,-0.286671,1.03500,-742.7895396355577
832.410,-0.285601,1.02994,-741.2355086820226
832.585,-0.284951,1.02492,-739.6793937907215
832.760,-0.284250,1.01995,-738.1207806070580
832.935,-0.283380,1.01501,-736.5602353438533
833.110,-0.282226,1.01011,-734.9977555761628
833.285,-0.281368,1.00526,-733.4326221037987
833.460,-0.280576,1.00044,-731.8650465156813
833.635,-0.279904,0.995670,-730.2958885640339
833.810,0.197359,1.52080,-728.7241257549722
