wave,flux,err,fit
828.331,-0.247976,0.710169,-113.0785643978473
828.507,-0.246507,0.705008,-131.9266975879632
828.683,0.0346594,0.873397,-149.1902617670013
828.860,0.172976,0.969855,-164.1187316045885
829.036,0.310305,1.06572,-176.2936131753401
829.212,0.301879,1.05503,-185.6405121172237
829.388,0.303262,1.05018,-192.3727086703260
829.565,0.570770,1.21083,-196.8919138269204
829.741,0.567384,1.20289,-199.6806799342180
829.917,1.08897,1.33414,-201.2116156916651
830.094,1.08105,1.32408,-201.8894608822067
830.270,1.08235,1.31951,-202.0259436000410
830.446,0.946054,1.24543,-201.8402976403110
830.623,0.942868,1.23796,-201.4747064452040
830.799,0.541616,1.15490,-201.0145746392062
830.975,0.660134,1.15173,-200.5076801531068
831.152,0.786501,1.24100,-199.9791139908949
831.328,0.783465,1.23388,-199.4410152635700
831.504,0.656973,1.13439,-198.8989834269803
831.681,0.404498,0.972124,-198.3545616411248
831.857,0.149600,0.819853,-197.8101254032356
832.033,0.0256064,0.722234,-197.2656935818657
832.209,-0.0975710,0.625222,-196.7213107941008
832.386,-0.0366836,0.605934,-196.1768463100927
832.562,0.0831946,0.616514,-195.6324388509953
832.738,0.139442,0.614812,-195.0879752782105
832.915,0.140532,0.610990,-194.5436078386137
833.091,0.199876,0.592491,-193.9991562195563
833.267,0.141174,0.604092,-193.4547322830587
833.444,0.0809969,0.571489,-192.9103079636186
833.620,-0.0378023,0.536159,-192.3658539186180
833.796,0.0200599,0.517849,-191.8214124482655
833.973,0.188753,0.572585,-191.2769827481676
834.149,0.414324,0.612431,-190.7325358780811
834.325,0.580982,0.666534,-190.1881093379295
834.502,0.791014,0.750932,-189.6436445131092
834.678,0.955675,0.899800,-189.0992213696589
834.854,0.949902,0.989657,-188.5547890479754
835.031,0.835235,1.02454,-188.0103142100145
835.207,0.612958,0.978096,-187.4658308323471
835.383,0.509142,0.974764,-186.9213972939585
835.559,0.610574,0.902091,-186.3769508181812
835.736,0.551739,0.777811,-185.8324949287042
835.912,0.602308,0.708679,-185.2880624919023
836.089,0.708252,0.718547,-184.7436187972486
836.265,0.756652,0.682179,-184.1991443382609
836.441,0.540277,0.624027,-183.6547040423621
836.617,0.484948,0.618224,-183.1102293879682
836.794,0.378465,0.586842,-182.5657924901909
836.970,0.478702,0.610315,-182.0213438628437
837.146,0.422987,0.582039,-181.4769050934414
837.323,0.572686,0.606830,-180.9324361988400
837.499,0.469971,0.591083,-180.3879493318891
837.675,0.569396,0.615873,-179.8434953521899
837.852,0.614299,0.613350,-179.2990386748281
838.028,0.462482,0.595784,-178.7546016916294
838.204,0.259817,0.539886,-178.2101348195741
838.381,0.358790,0.549208,-177.6656677333204
838.557,0.258356,0.519467,-177.1211914711204
838.733,0.155870,0.491626,-176.5767217099702
838.910,0.301313,0.503425,-176.0322586861741
839.086,0.348725,0.525321,-175.4877770532744
839.262,0.346822,0.522305,-174.9433130345390
839.439,0.441010,0.546066,-174.3988121767704
839.615,0.579378,0.589363,-173.8543312498608
839.791,0.773261,0.662905,-173.3098297988429
839.968,0.770882,0.718450,-172.7653468368028
840.144,0.954656,0.825082,-172.2208494279372
840.320,1.18272,0.972126,-171.6763685934328
840.497,0.992143,0.978281,-171.1319026548481
840.673,0.838018,0.999631,-170.5873965208637
840.849,1.01923,1.04529,-170.0429069618531
841.026,1.12227,1.01082,-169.4984245436868
841.202,1.02410,0.902418,-168.9539408729372
841.378,1.02287,0.842283,-168.4094337944431
841.555,1.01932,0.760480,-167.8649717595985
841.731,0.880056,0.653394,-167.3204684895946
841.907,0.721265,0.598327,-166.7759885096399
842.084,0.539259,0.549732,-166.2314909625084
842.260,0.581601,0.549728,-165.6869900827821
842.436,0.621702,0.548260,-165.1424973853769
842.613,0.619205,0.546060,-164.5979978322000
842.789,0.441760,0.497617,-164.0535031042680
842.965,0.440380,0.495465,-163.5089698613031
843.142,0.395124,0.490777,-162.9645038884640
843.318,0.305335,0.466148,-162.4200065179521
843.494,0.345256,0.484137,-161.8754840627015
843.671,0.386975,0.503418,-161.3309752288961
843.847,0.511642,0.524259,-160.7864724973460
844.023,0.510147,0.522444,-160.2419051004309
844.200,0.549381,0.540203,-159.6974078593832
844.376,0.421523,0.494825,-159.1529064830245
844.553,0.502672,0.514574,-158.6083638738241
844.729,0.374978,0.489398,-158.0638503980752
844.905,0.373521,0.487301,-157.5193287919736
845.081,0.288772,0.463502,-156.9747812277767
845.258,0.369475,0.484188,-156.4302356052939
845.434,0.447160,0.501912,-155.8857232781218
845.611,0.365229,0.490022,-155.3412055400040
845.787,0.443945,0.508956,-154.7966922273047
845.963,0.402554,0.487122,-154.2521839785182
846.140,0.440055,0.504261,-153.7076470536798
846.316,0.435391,0.501434,-153.1630925655365
846.492,0.711859,0.550698,-152.6185756057567
846.669,0.630499,0.527808,-152.0740333279041
846.845,0.669350,0.545645,-151.5295404956609
847.021,0.705621,0.544705,-150.9850115865665
847.198,0.740211,0.542952,-150.4404836284471
847.374,0.464750,0.490448,-149.8959573780295
847.550,0.502272,0.490664,-149.3514218409282
847.727,0.424383,0.479609,-148.8068788139290
847.903,0.306220,0.503419,-148.2623648045460
848.079,0.186816,0.546381,-147.7178011237464
848.256,0.237252,0.558555,-147.1732601483685
848.432,0.274000,0.587397,-146.6287046847915
848.609,0.577225,0.626044,-146.0841728011054
848.785,0.742592,0.593159,-145.5396119594966
848.961,0.741150,0.506587,-144.9950569891111
849.138,0.810885,0.500105,-144.4504988103358
849.314,0.838064,0.480620,-143.9059726059283
849.490,0.594780,0.432015,-143.3614134484567
849.667,0.561044,0.429467,-142.8168538017455
849.843,0.558616,0.428146,-142.2723111395104
850.019,0.586221,0.427698,-141.7277477959219
850.196,0.612719,0.426624,-141.1831914828604
850.372,0.816558,0.470491,-140.6386380388268
850.548,0.784093,0.468042,-140.0940900654143
850.725,0.781828,0.466443,-139.5495316501049
850.901,0.750709,0.463968,-139.0049711866509
851.078,0.632261,0.433363,-138.4604024801901
851.254,0.513326,0.403083,-137.9158634326504
851.430,0.425040,0.373675,-137.3713122646520
851.607,0.394538,0.371422,-136.8267436565252
851.783,0.392982,0.370120,-136.2821887957589
851.959,0.391957,0.369047,-135.7376346066429
852.136,0.361671,0.366972,-135.1930852512873
852.312,0.501081,0.394431,-134.6485184567719
852.488,0.527424,0.393913,-134.1039560944418
852.665,0.525718,0.392614,-133.5593674970664
852.841,0.635733,0.419455,-133.0147751739030
853.017,0.689377,0.431922,-132.4701965986090
853.194,0.630390,0.429199,-131.9256197366656
853.370,0.655736,0.440986,-131.3810297162075
853.547,0.626595,0.426611,-130.8364430888461
853.723,0.568899,0.411430,-130.2918711336596
853.899,0.484637,0.383422,-129.7472735837178
854.076,0.482328,0.381829,-129.2027006601228
854.252,0.425807,0.366690,-128.6581157374875
854.428,0.560068,0.393053,-128.1135527221877
854.605,0.504367,0.378495,-127.5689595962815
854.781,0.610896,0.404209,-127.0243780214973
854.958,0.689085,0.416558,-126.4797994388047
855.134,0.767807,0.429430,-125.9352129022492
855.310,0.738076,0.427760,-125.3906337561719
