wave,flux,err,fit
828.331,-0.247976,0.710169,-251.1983831764023
828.507,-0.246507,0.705008,-293.0343287800762
828.683,0.0346594,0.873397,-331.3747074725745
828.860,0.172976,0.969855,-364.5531886871375
829.036,0.310305,1.06572,-391.6383822735298
829.212,0.301879,1.05503,-412.4617402726410
829.388,0.303262,1.05018,-427.4926174410363
829.565,0.570770,1.21083,-437.6189285654016
829.741,0.567384,1.20289,-443.9088596818584
829.917,1.08897,1.33414,-447.4093232290464
830.094,1.08105,1.32408,-449.0169880934797
830.270,1.08235,1.31951,-449.4232399791451
830.446,0.946054,1.24543,-449.1142034746000
830.623,0.942868,1.23796,-448.4054026267162
830.799,0.541616,1.15490,-447.4861642629572
830.975,0.660134,1.15173,-446.4627260689456
831.152,0.786501,1.24100,-445.3907643775616
831.328,0.783465,1.23388,-444.2970714986259
831.504,0.656973,1.13439,-443.1943133533766
831.681,0.404498,0.972124,-442.0857760062952
831.857,0.149600,0.819853,-440.9767965938389
832.033,0.0256064,0.722234,-439.8673637222358
832.209,-0.0975710,0.625222,-438.7575932749662
832.386,-0.0366836,0.605934,-437.6472222881556
832.562,0.0831946,0.616514,-436.5366102873695
832.738,0.139442,0.614812,-435.4253657729204
832.915,0.140532,0.610990,-434.3139220449241
833.091,0.199876,0.592491,-433.2018473448561
833.267,0.141174,0.604092,-432.0895255420664
833.444,0.0809969,0.571489,-430.9766328030219
833.620,-0.0378023,0.536159,-429.8632707985971
833.796,0.0200599,0.517849,-428.7495580769450
833.973,0.188753,0.572585,-427.6353819517112
834.149,0.414324,0.612431,-426.5207828053353
834.325,0.580982,0.666534,-425.4058131980740
834.502,0.791014,0.750932,-424.2903102867808
834.678,0.955675,0.899800,-423.1744561228523
834.854,0.949902,0.989657,-422.0581758427556
835.031,0.835235,1.02454,-420.9413498350341
835.207,0.612958,0.978096,-419.8241049732922
835.383,0.509142,0.974764,-418.7065390805743
835.559,0.610574,0.902091,-417.5884665780242
835.736,0.551739,0.777811,-416.4700148622758
835.912,0.602308,0.708679,-415.3511533531574
836.089,0.708252,0.718547,-414.2318641644815
836.265,0.756652,0.682179,-413.1120023211004
836.441,0.540277,0.624027,-411.9918332377059
836.617,0.484948,0.618224,-410.8711901097001
836.794,0.378465,0.586842,-409.7502171977178
836.970,0.478702,0.610315,-408.6287734433300
837.146,0.422987,0.582039,-407.5068741879053
837.323,0.572686,0.606830,-406.3845477687461
837.499,0.469971,0.591083,-405.2617195404271
837.675,0.569396,0.615873,-404.1385676510258
837.852,0.614299,0.613350,-403.0149431500651
838.028,0.462482,0.595784,-401.8909692411384
838.204,0.259817,0.539886,-400.7664883628913
838.381,0.358790,0.549208,-399.6415899201133
838.557,0.258356,0.519467,-398.5162661382710
838.733,0.155870,0.491626,-397.3904986964961
838.910,0.301313,0.503425,-396.2643429192613
839.086,0.348725,0.525321,-395.1377074881535
839.262,0.346822,0.522305,-394.0107257373388
839.439,0.441010,0.546066,-392.8831775790590
839.615,0.579378,0.589363,-391.7552679373593
839.791,0.773261,0.662905,-390.6269202476994
839.968,0.770882,0.718450,-389.4981522950619
840.144,0.954656,0.825082,-388.3689733199482
840.320,1.18272,0.972126,-387.2393830686941
840.497,0.992143,0.978281,-386.1093687674702
840.673,0.838018,0.999631,-384.9789012498893
840.849,1.01923,1.04529,-383.8480510395984
841.026,1.12227,1.01082,-382.7167090797370
841.202,1.02410,0.902418,-381.5850155837651
841.378,1.02287,0.842283,-380.4528062602163
841.555,1.01932,0.760480,-379.3203020098670
841.731,0.880056,0.653394,-378.1872487905226
841.907,0.721265,0.598327,-377.0538528983010
842.084,0.539259,0.549732,-375.9200160377259
842.260,0.581601,0.549728,-374.7857323727757
842.436,0.621702,0.548260,-373.6510537684947
842.613,0.619205,0.546060,-372.5159054413796
842.789,0.441760,0.497617,-371.3803737556632
842.965,0.440380,0.495465,-370.2443348145898
843.142,0.395124,0.490777,-369.1080538268911
843.318,0.305335,0.466148,-367.9712349697062
843.494,0.345256,0.484137,-366.8339535933113
843.671,0.386975,0.503418,-365.6962666260094
843.847,0.511642,0.524259,-364.5582140879139
844.023,0.510147,0.522444,-363.4195866294481
844.200,0.549381,0.540203,-362.2807038663863
844.376,0.421523,0.494825,-361.1413332022207
844.553,0.502672,0.514574,-360.0015081963643
844.729,0.374978,0.489398,-358.8613221224944
844.905,0.373521,0.487301,-357.7206538354866
845.081,0.288772,0.463502,-356.5795573534565
845.258,0.369475,0.484188,-355.4380635212497
845.434,0.447160,0.501912,-354.2961532510246
845.611,0.365229,0.490022,-353.1538301854902
845.787,0.443945,0.508956,-352.0111610297881
845.963,0.402554,0.487122,-350.8680082629779
846.140,0.440055,0.504261,-349.7244477261235
846.316,0.435391,0.501434,-348.5803605094365
846.492,0.711859,0.550698,-347.4359886016296
846.669,0.630499,0.527808,-346.2911121971866
846.845,0.669350,0.545645,-345.1459612113864
847.021,0.705621,0.544705,-344.0002318589513
847.198,0.740211,0.542952,-342.8541735274915
847.374,0.464750,0.490448,-341.7076736272462
847.550,0.502272,0.490664,-340.5607286965103
847.727,0.424383,0.479609,-339.4133411565651
847.903,0.306220,0.503419,-338.2656313802350
848.079,0.186816,0.546381,-337.1174095757782
848.256,0.237252,0.558555,-335.9687658513063
848.432,0.274000,0.587397,-334.8197025388808
848.609,0.577225,0.626044,-333.6702978608782
848.785,0.742592,0.593159,-332.5203735154864
848.961,0.741150,0.506587,-331.3700681581655
849.138,0.810885,0.500105,-330.2193465899263
849.314,0.838064,0.480620,-329.0682449550751
849.490,0.594780,0.432015,-327.9166825492488
849.667,0.561044,0.429467,-326.7647130307462
849.843,0.558616,0.428146,-325.6123336415065
850.019,0.586221,0.427698,-324.4595141911140
850.196,0.612719,0.426624,-323.3063365279588
850.372,0.816558,0.470491,-322.1526746701516
850.548,0.784093,0.468042,-320.9986670493985
850.725,0.781828,0.466443,-319.8442083542788
850.901,0.750709,0.463968,-318.6892758975977
851.078,0.632261,0.433363,-317.5339551831191
851.254,0.513326,0.403083,-316.3782688030420
851.430,0.425040,0.373675,-315.2221902631883
851.607,0.394538,0.371422,-314.0656143954718
851.783,0.392982,0.370120,-312.9086890433662
851.959,0.391957,0.369047,-311.7513133355628
852.136,0.361671,0.366972,-310.5935715178235
852.312,0.501081,0.394431,-309.4353595216901
852.488,0.527424,0.393913,-308.2767343770305
852.665,0.525718,0.392614,-307.1176450225300
852.841,0.635733,0.419455,-305.9581534533912
853.017,0.689377,0.431922,-304.7982730981387
853.194,0.630390,0.429199,-303.6379844093600
853.370,0.655736,0.440986,-302.4772376752369
853.547,0.626595,0.426611,-301.3161172651053
853.723,0.568899,0.411430,-300.1546153540341
853.899,0.484637,0.383422,-298.9926048005760
854.076,0.482328,0.381829,-297.8302700221919
854.252,0.425807,0.366690,-296.6675111780343
854.428,0.560068,0.393053,-295.5043048280053
854.605,0.504367,0.378495,-294.3406915273425
854.781,0.610896,0.404209,-293.1766956923055
854.958,0.689085,0.416558,-292.0122815640599
855.134,0.767807,0.429430,-290.8474810996793
855.310,0.738076,0.427760,-289.6822185083380
855.487,0.737063,0.426770,-288.5165148362806
855.663,0.681464,0.412472,-287.3504616950063
855.839,0.519673,0.371715,-286.1839659844252
856.016,0.543344,0.370915,-285.0170758256400
856.192,0.469503,0.360792,-283.8497419268989
856.368,0.649985,0.407166,-282.6820376402927
856.545,0.615391,0.407158,-281.5138624664439
856.721,0.665909,0.436069,-280.3453156017155
856.898,0.488409,0.404922,-279.1763168446198
857.074,0.569196,0.432216,-278.0069470620145
857.250,0.501723,0.429276,-276.8371586118833
857.427,0.541897,0.432133,-275.6669513261219
857.603,0.694452,0.440348,-274.4963135064653
857.779,0.789630,0.455960,-273.3252620241687
857.956,0.647795,0.408277,-272.1537983319085
858.132,0.531805,0.362040,-270.9819726001926
858.309,0.622315,0.380973,-269.8096767432175
858.485,0.567848,0.379034,-268.6369847908057
