wave,flux,err,fit
828.331,-0.247976,0.710169,-302.8984319447006
828.507,-0.246507,0.705008,-353.3479845905039
828.683,0.0346594,0.873397,-399.5900707290069
828.860,0.172976,0.969855,-439.6149546713615
829.036,0.310305,1.06572,-472.2987047590244
829.212,0.301879,1.05503,-497.4366610724062
829.388,0.303262,1.05018,-515.5934892882892
829.565,0.570770,1.21083,-527.8383461324456
829.741,0.567384,1.20289,-535.4584963624907
829.917,1.08897,1.33414,-539.7155893746661
830.094,1.08105,1.32408,-541.6904252223571
830.270,1.08235,1.31951,-542.2165132356644
830.446,0.946054,1.24543,-541.8800732614665
830.623,0.942868,1.23796,-541.0612170380166
830.799,0.541616,1.15490,-539.9886057684743
830.975,0.660134,1.15173,-538.7900193709330
831.152,0.786501,1.24100,-537.5329092462339
831.328,0.783465,1.23388,-536.2494498914012
831.504,0.656973,1.13439,-534.9549343949403
831.681,0.404498,0.972124,-533.6534001525361
831.857,0.149600,0.819853,-532.3511377155376
832.033,0.0256064,0.722234,-531.0482882981329
832.209,-0.0975710,0.625222,-529.7449090946130
832.386,-0.0366836,0.605934,-528.4406481784455
832.562,0.0831946,0.616514,-527.1359484890164
832.738,0.139442,0.614812,-525.8303785623402
832.915,0.140532,0.610990,-524.5246497113429
833.091,0.199876,0.592491,-523.2178077164585
833.267,0.141174,0.604092,-521.9106591411725
833.444,0.0809969,0.571489,-520.6026073318666
833.620,-0.0378023,0.536159,-519.2940008923628
833.796,0.0200599,0.517849,-517.9847593829039
833.973,0.188753,0.572585,-516.6749376282670
834.149,0.414324,0.612431,-515.3644219818636
834.325,0.580982,0.666534,-514.0532833014432
834.502,0.791014,0.750932,-512.7414937482235
834.678,0.955675,0.899800,-511.4290781893492
834.854,0.949902,0.989657,-510.1161603375848
835.031,0.835235,1.02454,-508.8022809567599
835.207,0.612958,0.978096,-507.4878060135400
835.383,0.509142,0.974764,-506.1729287499629
835.559,0.610574,0.902091,-504.8572400300104
835.736,0.551739,0.777811,-503.5410813353653
835.912,0.602308,0.708679,-502.2241580503867
836.089,0.708252,0.718547,-500.9066841584482
836.265,0.756652,0.682179,-499.5883902255334
836.441,0.540277,0.624027,-498.2695959717939
836.617,0.484948,0.618224,-496.9500602408578
836.794,0.378465,0.586842,-495.6300797706174
836.970,0.478702,0.610315,-494.3093634671196
837.146,0.422987,0.582039,-492.9880131754934
837.323,0.572686,0.606830,-491.6658833034434
837.499,0.469971,0.591083,-490.3431083275319
837.675,0.569396,0.615873,-489.0198706491110
837.852,0.614299,0.613350,-487.6959110337687
838.028,0.462482,0.595784,-486.3714037917809
838.204,0.259817,0.539886,-485.0461637167902
838.381,0.358790,0.549208,-483.7202312451359
838.557,0.258356,0.519467,-482.3937419738374
838.733,0.155870,0.491626,-481.0664839145488
838.910,0.301313,0.503425,-479.7387585960610
839.086,0.348725,0.525321,-478.4101709866171
839.262,0.346822,0.522305,-477.0811597042097
839.439,0.441010,0.546066,-475.7511978861152
