V,Cf,Cferr,Tau,Tau_err
-970.272,0.501825,0.269318,1.34959,1.90510
-913.313,0.535806,0.280893,1.88403,1.62968
-856.319,0.522118,0.264788,2.24234,2.05093
-799.307,0.535212,0.262557,2.07103,1.38374
-742.349,0.521336,0.256841,2.07490,1.40298
-685.355,0.443394,0.255257,0.982569,1.92947
-628.396,0.406667,0.256251,1.00635,1.31231
-571.402,0.393604,0.256420,0.483478,1.79634
-514.390,0.377813,0.240949,0.00000,1.66918
-457.432,0.377741,0.243899,0.00000,1.57604
-400.438,0.372520,0.237399,0.00000,2.02904
-343.444,0.359653,0.228437,0.00000,1.88895
-286.432,0.330966,0.226623,0.00000,1.33992
-229.473,0.307922,0.222994,0.00000,1.14188
-172.479,0.337474,0.228815,0.00000,1.30235
-115.521,0.316373,0.237919,1.86966,0.908575
-58.5089,0.408376,0.294965,0.902256,0.938168
-1.51485,0.393331,0.352676,0.393417,1.07491
55.4971,0.334780,0.281683,0.866412,0.998388
112.455,0.234000,0.423583,0.00000,0.967972
169.450,0.00000,0.389643,1.21129,0.945885
