wave,flux,err,fit_all,fit_stell
858.669,0.915873,1.09528,-17.19064115803236,0.000000000000000
858.854,0.187017,0.370973,-23.27339517249372,0.000000000000000
859.040,-0.176770,0.00878833,-24.98569071599462,0.000000000000000
859.218,-0.175490,0.00872294,-25.09659802900824,0.000000000000000
859.403,0.177344,0.357370,-24.97709703245289,0.000000000000000
859.589,0.178601,0.357306,-24.84255946243723,-69.30075459305588
859.774,0.179839,0.357243,-24.70728637057280,-68.91060686193384
859.960,-0.170501,0.00846793,-24.57228141614484,-68.52137405159247
860.145,-0.169289,0.00840609,-24.43820403779438,-68.13485685790286
860.323,0.170699,0.344381,-24.30458310417692,-67.75028606687543
860.509,0.171888,0.344320,-24.17039242562432,-67.36374998102100
860.694,0.173062,0.344261,-24.03516818071243,-66.97447463042411
860.880,-0.164564,0.00816548,-23.89953656753721,-66.58421821020410
861.065,-0.163416,0.00810709,-23.76385193651312,-66.19396215189811
861.251,-0.162277,0.00804906,-23.62847203343695,-65.80469080234469
861.436,-0.161154,0.00799178,-23.49401011187049,-65.41812908635725
861.614,0.161994,0.327360,-23.36000880822544,-65.03349025022423
861.799,0.163089,0.327304,-23.22544252008320,-64.64692767087109
861.985,0.164177,0.327248,-23.08985065703994,-64.25765146386675
862.171,0.158430,0.320421,-22.95389694607043,-63.86752149452309
862.356,0.472472,0.630794,-22.81820386513039,-63.47825826675503
862.542,1.40598,1.24984,-22.68344719950828,-63.09174667589560
862.719,1.40043,1.24326,-22.54916130145317,-62.70718363379478
862.905,1.08849,0.932778,-22.41430033979005,-62.32066497265941
863.090,0.157062,0.313623,-22.27839757875432,-61.93140170798861
863.276,0.151692,0.307243,-22.14206929765417,-61.54110249419213
863.461,0.152691,0.307192,-22.00567983830592,-61.15076923417563
863.647,0.153679,0.307142,-21.86959349110084,-60.76143070177899
863.832,-0.147588,0.00730021,-21.73445852871426,-60.37488698133616
864.010,0.147434,0.298916,-21.59981536338740,-59.99031027008372
864.196,0.148391,0.298867,-21.46459254604367,-59.60380461170753
864.381,0.439422,0.586547,-21.32832238659084,-59.21453642695347
864.567,0.146307,0.294835,-21.19164333915391,-58.82427940905671
864.752,0.147234,0.294787,-21.05491205085281,-58.43402384634748
864.938,-0.141932,0.00701134,-20.91849177335294,-58.04477237760752
865.123,0.141353,0.287046,-20.78299749405447,-57.65823586277512
865.301,0.142255,0.287000,-20.64798275927290,-57.27361467363426
865.487,0.421796,0.563340,-20.51235822066126,-56.88700330160261
865.672,0.140298,0.283215,-20.37571059644097,-56.49769473269021
865.858,0.141169,0.283171,-20.23871255779163,-56.10756547425817
866.043,-0.136622,0.00674140,-20.10198126144959,-55.71832139429233
866.229,-0.135767,0.00669779,-19.96618265008166,-55.33180245011997
866.406,-0.134920,0.00665465,-19.83088116209180,-54.94722772676474
866.592,-0.134083,0.00661186,-19.69498443171189,-54.56072732521119
866.777,0.132940,0.270599,-19.55803941770467,-54.17145774934349
866.963,0.133758,0.270557,-19.42067502249966,-53.78118171654388
867.148,0.134570,0.270516,-19.28325584708391,-53.39089451619979
867.334,0.130279,0.265418,-19.14613995752277,-53.00158741473315
867.520,0.131071,0.265377,-19.00995594788800,-52.61499971233689
867.697,0.131858,0.265336,-18.87428464983068,-52.23038571145842
867.883,-0.128468,0.00632378,-18.73801452574114,-51.84384884586689
868.068,-0.127693,0.00628395,-18.60071130604168,-51.45459781516291
868.254,0.126067,0.257181,-18.46299455197453,-51.06434759820490
868.439,0.126825,0.257143,-18.32522296698247,-50.67409058505972
868.625,0.127573,0.257104,-18.18776028535229,-50.28482780537919
868.810,-0.124684,0.00612987,-18.05124104183751,-49.89832179989212
868.988,-0.123952,0.00609255,-17.91523156171602,-49.51373953508025
869.174,-0.123228,0.00605566,-17.77859425817109,-49.12719038525760
869.359,-0.122510,0.00601918,-17.64089919658614,-48.73785750595545
869.545,0.120509,0.246315,-17.50278919435992,-48.34751371583882
869.730,0.121211,0.246279,-17.36464366497056,-47.95722491050779
869.916,0.361297,0.483680,-17.22681586206711,-47.56796191584007
870.101,0.357642,0.479337,-17.08993329804536,-47.18144362501853
870.279,0.358329,0.479302,-16.95357848009685,-46.79688028032601
870.465,0.119618,0.241830,-16.81659395954187,-46.41036266893082
870.650,-0.117675,0.00577157,-16.67856637448118,-46.02110528902384
870.836,-0.117014,0.00573772,-16.54016541590322,-45.63096958803632
871.021,-0.116357,0.00570403,-16.40202560165921,-45.24169368439936
871.207,-0.115708,0.00567076,-16.26482133565973,-44.85513702162299
871.384,-0.115062,0.00563775,-16.12813780698332,-44.47049225333438
871.570,-0.114428,0.00560542,-15.99083201789641,-44.08394086936278
871.755,-0.113792,0.00557091,-15.85248703194407,-43.69465919862077
871.941,-0.113166,0.00553586,-15.71373358475936,-43.30440272736077
872.126,-0.112543,0.00550107,-15.57493333915465,-42.91415268649782
872.312,-0.110021,0.114449,-15.43643165507709,-42.52487216282439
872.497,-0.107515,0.222775,-15.29887666055413,-42.13834181855501
872.675,-0.105026,0.330489,-15.16186902439526,-41.75377006318524
872.861,-0.104468,0.328621,-15.02422037483415,-41.36725801473513
873.046,0.220974,0.435055,-14.88551936773259,-40.97799042742995
873.232,0.329215,0.433215,-14.74640461913638,-40.58772643669543
873.417,0.436853,0.431386,-14.60722284784914,-40.19741700884477
873.603,0.219000,0.321292,-14.46834742099347,-39.80809308550062
873.788,0.217745,0.319501,-14.33042172969557,-39.42152753786272
873.966,0.111185,0.317728,-14.19305724267015,-39.03693254084257
874.152,0.00521726,0.315973,-14.05504188199773,-38.65039573308575
874.337,0.00399922,0.314235,-13.91597903127684,-38.26112328736503
874.523,0.00451409,0.312514,-13.77651133189256,-37.87087281520707
874.708,0.108059,0.310811,-13.63698757263905,-37.48061717270433
874.894,0.00440156,0.309125,-13.49777790278378,-37.09135647058680
875.079,0.158606,0.358357,-13.35951348258691,-36.70484110928847
875.257,0.0578054,0.256494,-13.22179442886689,-36.32023366350437
875.443,0.0600255,0.155183,-13.08340271467829,-35.93363980659914
875.628,0.108953,0.202776,-12.94396831201754,-35.54431992636189
875.814,0.109406,0.202758,-12.80418746814049,-35.15419662430467
875.999,0.108383,0.300834,-12.66467410205937,-34.76494899572536
876.185,0.104416,0.199130,-12.52610175427036,-34.37842195625225
876.362,0.103516,0.296175,-12.38809497652082,-33.99384209171841
876.548,0.104127,0.294623,-12.24942260757710,-33.60731435663858
876.733,-0.0926308,0.293086,-12.10970225252860,-33.21805783114967
876.919,-0.0921805,0.291564,-11.96957028906507,-32.82781012555105
877.104,0.00441053,0.290057,-11.82938044254427,-32.43753882925839
877.290,0.100609,0.288559,-11.68950342544226,-32.04827204574392
877.475,0.101412,0.287083,-11.55055849113280,-31.66169783319343
877.653,0.00628071,0.285623,-11.41217693586800,-31.27703626025727
877.839,0.00576226,0.284170,-11.27313177489778,-30.89046033566814
878.024,0.00658373,0.282717,-11.13305275794166,-30.50119408751805
878.210,0.00703194,0.281292,-10.99255851495078,-30.11092789017648
878.395,-0.0870446,0.279889,-10.85201704250334,-29.72067284250124
878.581,-0.0869648,0.278501,-10.71179006117029,-29.33142200037840
878.766,-0.0866655,0.277098,-10.57250998585482,-28.94489819875511
878.944,-0.0860899,0.275724,-10.43381883168094,-28.56033978563897
879.130,0.0964702,0.274357,-10.29443724760360,-28.17381277085643
879.315,0.187554,0.273017,-10.15398289523654,-27.78448910381557
879.501,0.277986,0.271677,-10.01310664129391,-27.39415086471345
879.686,0.275556,0.270357,-9.872196485402377,-27.00385983774438
879.872,0.274210,0.269044,-9.731607785009366,-26.61458778283200
880.057,0.184028,0.267744,-9.591975418275894,-26.22806534246340
880.235,0.00474987,0.266458,-9.452929150032142,-25.84348002413307
880.421,-0.0843542,0.265178,-9.313195228548222,-25.45695584567513
880.606,-0.0841825,0.263911,-9.172411867001976,-25.06770180806875
880.792,-0.0840473,0.262656,-9.031210206476043,-24.67744609223956
