wave,flux,err,fit_all,fit_stell
858.669,0.915873,1.09528,-110.5132743861532,0.000000000000000
858.854,0.187017,0.370973,-149.1719663842488,0.000000000000000
859.040,-0.176770,0.00878833,-160.1395960035859,0.000000000000000
859.218,-0.175490,0.00872294,-160.9579195329199,0.000000000000000
859.403,0.177344,0.357370,-160.3167560751102,0.000000000000000
859.589,0.178601,0.357306,-159.5810298485850,-557.8572606645963
859.774,0.179839,0.357243,-158.8408611295829,-555.1441029130099
859.960,-0.170501,0.00846793,-158.1021039719375,-552.4373210662923
860.145,-0.169289,0.00840609,-157.3684414863309,-549.7494104035012
860.323,0.170699,0.344381,-156.6368142193482,-547.0750469842693
860.509,0.171888,0.344320,-155.9023902562810,-544.3870048856591
860.694,0.173062,0.344261,-155.1621710440410,-541.6799174380558
860.880,-0.164564,0.00816548,-154.4196214996205,-538.9660103739635
861.065,-0.163416,0.00810709,-153.6767122957896,-536.2521044606290
861.251,-0.162277,0.00804906,-152.9354430735642,-533.5450576469703
861.436,-0.161154,0.00799178,-152.1991960331573,-530.8568390728660
861.614,0.161994,0.327360,-151.4650235506843,-528.1819930018755
861.799,0.163089,0.327304,-150.7280712882052,-525.4937739025470
861.985,0.164177,0.327248,-149.9853657178393,-522.7866849981033
862.171,0.158430,0.320421,-149.2405812182339,-520.0736586778801
862.356,0.472472,0.630794,-148.4971831764408,-517.3666569362267
862.542,1.40598,1.24984,-147.7589204602283,-514.6787910806008
862.719,1.40043,1.24326,-147.0227805340126,-512.0044715826165
862.905,1.08849,0.932778,-146.2838173690278,-509.3165600840625
863.090,0.157062,0.313623,-145.5389985039002,-506.6095594106818
863.276,0.151692,0.307243,-144.7917495307743,-503.8953470428744
863.461,0.152691,0.307192,-144.0441094362046,-501.1809111455030
863.647,0.153679,0.307142,-143.2980806085717,-498.4733835930335
863.832,-0.147588,0.00730021,-142.5572682135439,-495.7852964592043
864.010,0.147434,0.298916,-141.8187207443768,-493.1108887669436
864.196,0.148391,0.298867,-141.0772981387915,-490.4230663396715
864.381,0.439422,0.586547,-140.3299903001993,-487.7160228177719
864.567,0.146307,0.294835,-139.5803498358489,-485.0021149502472
864.752,0.147234,0.294787,-138.8303523003819,-482.2882098403451
864.938,-0.141932,0.00701134,-138.0820250617807,-479.5812954895358
865.123,0.141353,0.287046,-137.3387760880649,-476.8932540075469
865.301,0.142255,0.287000,-136.5977300141563,-474.2185376094525
865.487,0.421796,0.563340,-135.8536283430754,-471.5299683580011
865.672,0.140298,0.283215,-135.1037871836378,-468.8226595954082
865.858,0.141169,0.283171,-134.3519266952187,-466.1096335444811
866.043,-0.136622,0.00674140,-133.6014843681670,-463.4027646651653
866.229,-0.135767,0.00669779,-132.8561671684830,-460.7148524565843
866.406,-0.134920,0.00665465,-132.1131529630155,-458.0404465883217
866.592,-0.134083,0.00661186,-131.3671600554690,-455.3526664341896
866.777,0.132940,0.270599,-130.6152837006140,-452.6456213988306
866.963,0.133758,0.270557,-129.8610043170851,-449.9315828467561
867.148,0.134570,0.270516,-129.1063575522883,-447.2174565888429
867.334,0.130279,0.265418,-128.3533374475372,-444.5101487966610
867.520,0.131071,0.265377,-127.6054384244784,-441.8217544227508
867.697,0.131858,0.265336,-126.8599329685696,-439.1470834961500
867.883,-0.128468,0.00632378,-126.1114234946960,-436.4590403292671
868.068,-0.127693,0.00628395,-125.3571081054033,-433.7521280628400
868.254,0.126067,0.257181,-124.6004286621355,-431.0382654432112
868.439,0.126825,0.257143,-123.8433803785055,-428.3243572651477
868.625,0.127573,0.257104,-123.0879882813676,-425.6173583268156
868.810,-0.124684,0.00612987,-122.3377746066968,-422.9295343492976
868.988,-0.123952,0.00609255,-121.5899646988750,-420.2550834935232
869.174,-0.123228,0.00605566,-120.8389664034192,-417.5669532006364
869.359,-0.122510,0.00601918,-120.0820274535015,-414.8594683664937
869.545,0.120509,0.246315,-119.3227236094093,-412.1449475621489
869.730,0.121211,0.246279,-118.5631524545776,-409.4308209459900
869.916,0.361297,0.483680,-117.8052774412930,-406.7238200077692
870.101,0.357642,0.479337,-117.0526052375136,-404.0359090801380
870.279,0.358329,0.479302,-116.3024422219557,-401.3615895821537
870.465,0.119618,0.241830,-115.5490753370624,-398.6736784830879
870.650,-0.117675,0.00577157,-114.7898490725587,-395.9667226949014
870.836,-0.117014,0.00573772,-114.0284708691168,-393.2536513548358
871.021,-0.116357,0.00570403,-113.2684867073958,-390.5465634620458
871.207,-0.115708,0.00567076,-112.5136481732656,-387.8583879625056
871.384,-0.115062,0.00563775,-111.7612900074717,-385.1834970063209
871.570,-0.114428,0.00560542,-111.0057584561385,-382.4953652456733
871.755,-0.113792,0.00557091,-110.2443857461875,-379.7882336184467
871.941,-0.113166,0.00553586,-109.4806687440288,-377.0743262850583
872.126,-0.112543,0.00550107,-108.7166353805623,-374.3604633548907
872.312,-0.110021,0.114449,-107.9541921550113,-371.6533325723393
872.497,-0.107515,0.222775,-107.1969552754964,-368.9653342081655
872.675,-0.105026,0.330489,-106.4423675817559,-366.2909695492264
872.861,-0.104468,0.328621,-105.6844889643800,-363.6031023192451
873.046,0.220974,0.435055,-104.9206859184103,-360.8960591923777
873.232,0.329215,0.433215,-104.1545222536579,-358.1821080679337
873.417,0.436853,0.431386,-103.3879217648564,-355.4678281671307
873.603,0.219000,0.321292,-102.6229645383166,-352.7604091900017
873.788,0.217745,0.319501,-101.8632248305110,-350.0721683720402
873.966,0.111185,0.317728,-101.1062205023968,-347.3976297259335
874.152,0.00521726,0.315973,-100.3458592684778,-344.7095861183199
874.337,0.00399922,0.314235,-99.57959942030362,-342.0025194989760
874.523,0.00451409,0.312514,-98.81103133740424,-339.2886570139952
874.708,0.108059,0.310811,-98.04207689669792,-336.5747506554738
874.894,0.00440156,0.309125,-97.27482171712740,-333.8677723173475
875.079,0.158606,0.358357,-96.51275720983148,-331.1798829280026
875.257,0.0578054,0.256494,-95.75334408775520,-328.5052558704863
875.443,0.0600255,0.155183,-94.99045240513732,-325.8168178878756
875.628,0.108953,0.202776,-94.22169452783555,-323.1094215585481
875.814,0.109406,0.202758,-93.45093596517758,-320.3964386254361
875.999,0.108383,0.300834,-92.68160390343598,-317.6895479429938
876.185,0.104416,0.199130,-91.91745105595089,-315.0015708522662
876.362,0.103516,0.296175,-91.15607003754900,-312.3271417563673
876.548,0.104127,0.294623,-90.39124015284317,-309.6391648415303
876.733,-0.0926308,0.293086,-89.62050146162635,-306.9322090165573
876.919,-0.0921805,0.291564,-88.84741217399991,-304.2183672296438
877.104,0.00441053,0.290057,-88.07394118719742,-301.5043512319653
877.290,0.100609,0.288559,-87.30214356894248,-298.7973278695406
877.475,0.101412,0.287083,-86.53547646756735,-296.1090220804829
877.653,0.00628071,0.285623,-85.77158536973495,-293.4340219214158
877.839,0.00576226,0.284170,-85.00424108084005,-290.7457129473728
878.024,0.00658373,0.282717,-84.23106877730727,-288.0386914412767
878.210,0.00703194,0.281292,-83.45552373509940,-285.3247184312212
878.395,-0.0870446,0.279889,-82.67964914952293,-282.6108139334846
878.581,-0.0869648,0.278501,-81.90546186330239,-279.9039006509478
