wave,flux,err,fit_all,fit_stell
819.186,-0.177619,0.776697,-536.9411893327919,-11200.62746542362
819.363,-0.176339,0.770901,-536.0254274303780,-11175.32658425262
819.540,0.0780760,0.765153,-535.1088903116475,-11150.04249546936
819.717,0.330602,0.759466,-534.1909403670198,-11124.75066132261
819.894,0.331839,0.753862,-533.2719064121110,-11099.46656763070
820.063,0.575087,0.748299,-532.3900309725686,-11075.23923330938
820.240,0.325027,0.742815,-531.4681115715481,-11049.94609932083
820.417,0.570215,0.737371,-530.5451713168434,-11024.66201220439
820.594,0.0762339,0.732004,-529.6209743611803,-10999.37922159611
820.772,0.317884,0.726695,-528.6950956293638,-10974.08608618468
820.949,0.313792,0.721444,-527.7682591722687,-10948.80329684714
821.118,0.551961,0.716248,-526.8788866947616,-10924.57471027267
821.295,0.547942,0.711091,-525.9488544915004,-10899.27378190910
821.472,0.310330,0.706006,-525.0177429445060,-10873.98068632261
821.649,0.0744158,0.700992,-524.0857446947159,-10848.69659960225
821.826,0.0705379,0.696015,-523.1524852261792,-10823.41376489110
822.003,0.0716214,0.691108,-522.2174662041548,-10798.12188212891
822.180,0.0726932,0.686255,-521.2815038295568,-10772.83784014213
822.350,-0.156586,0.681436,-520.3834073988597,-10748.60925356766
822.527,0.0684285,0.676651,-519.4446028947675,-10723.31737262442
822.704,0.291880,0.671898,-518.5047185696994,-10698.03328344508
822.881,0.513808,0.667281,-517.5635128005583,-10672.74923694574
823.058,0.290863,0.662696,-516.6207359193792,-10647.45735521034
823.235,0.0694664,0.658143,-515.6763296873673,-10622.15647261646
823.412,-0.150443,0.653622,-514.7311479959460,-10596.87238034743
823.582,-0.149455,0.649149,-513.8243108279802,-10572.64379868161
823.759,-0.148481,0.644739,-512.8762819331934,-10547.35191243364
823.936,-0.147513,0.640357,-511.9273085260909,-10522.06787044686
824.113,-0.146559,0.636038,-510.9770679797019,-10496.78503819469
824.290,-0.145618,0.631781,-510.0251608406969,-10471.49252522603
824.467,-0.144684,0.627554,-509.0722080618303,-10446.20848363533
824.637,-0.143760,0.623371,-508.1577601475681,-10421.97989706086
824.814,0.0621976,0.619232,-507.2017901830532,-10396.68738718189
824.991,0.0631029,0.615134,-506.2450641650648,-10371.40392511933
825.168,0.0639987,0.611080,-505.2862890257795,-10346.10304046256
825.345,-0.140158,0.607068,-504.3269056262082,-10320.81957800391
825.522,-0.139281,0.603098,-503.3657512405890,-10295.52707033998
825.699,-0.138413,0.599171,-502.4035828274237,-10270.24365325494
825.869,0.0595777,0.595267,-501.4803646560695,-10246.01506849943
826.046,0.0604278,0.591420,-500.5154005016102,-10220.72255901654
826.223,0.450486,0.587612,-499.5493896412222,-10195.43847023328
826.400,0.254190,0.583845,-498.5822098768784,-10170.15505496720
826.577,0.255011,0.580131,-497.6131558890680,-10144.86317180893
826.754,-0.133387,0.576426,-496.6433140957766,-10119.57975654285
826.931,-0.132580,0.572774,-495.6720108286178,-10094.29628917555
827.100,-0.131778,0.569145,-494.7393720299777,-10070.04961179442
827.277,-0.130990,0.565584,-493.7651684195962,-10044.75772515038
827.454,-0.130208,0.562043,-492.7899222139604,-10019.47431337007
827.631,0.0555736,0.558526,-491.8135328546960,-9994.189598262190
827.809,0.240225,0.555072,-490.8353308429719,-9968.897712014224
827.986,0.240983,0.551640,-489.8562126393257,-9943.614296352065
828.163,0.0567269,0.548258,-488.8757590272721,-9918.330837775275
828.332,0.234610,0.544883,-487.9346308516082,-9894.093202113661
828.509,0.235346,0.541556,-486.9515596112694,-9868.809739655018
828.686,0.236074,0.538262,-485.9672792238181,-9843.526275773498
828.863,0.0530224,0.535003,-484.9810639270638,-9818.233188581429
829.040,0.406105,0.531778,-483.9934991888308,-9792.932255309217
829.217,0.757083,0.528585,-483.0052149476052,-9767.648839647058
829.387,0.580528,0.525425,-482.0568740072947,-9743.420254891544
829.564,0.401896,0.522284,-481.0655188061098,-9718.127745804733
829.741,0.0523120,0.519175,-480.0732774145243,-9692.844330142574
829.918,0.0529896,0.516110,-479.0796973818186,-9667.560868080011
830.095,-0.119384,0.513076,-478.0844861516397,-9642.268984525657
830.272,-0.118720,0.510074,-477.0882034589469,-9616.984943331041
830.449,-0.118060,0.507090,-476.0907348044150,-9591.701480872398
830.619,-0.117410,0.504149,-475.1332665488249,-9567.464473202219
830.796,0.0493373,0.501225,-474.1324262286197,-9542.163541352882
830.973,0.380277,0.498331,-473.1309641369435,-9516.879499762184
831.150,0.380911,0.495465,-472.1281922389668,-9491.596037303541
831.327,0.378712,0.492642,-471.1237523998478,-9466.303527383321
831.504,0.211375,0.489834,-470.1183044292609,-9441.020111721162
831.681,0.373416,0.487056,-469.1114836705356,-9415.736024167390
831.851,0.210747,0.484306,-468.1451644747443,-9391.499014830393
832.028,0.0490030,0.481596,-467.1357459263206,-9366.215554114637
832.205,-0.115028,0.439460,-466.1250759227726,-9340.931465727457
832.382,-0.120818,0.358185,-465.1127664885350,-9315.639000388685
832.559,-0.0477980,0.277364,-464.0993284376236,-9290.355585518684
832.736,0.0280014,0.236445,-463.0848168736030,-9265.072751127545
832.913,0.106572,0.235140,-462.0680269889230,-9239.771192953591
833.083,0.105919,0.233848,-461.0928106642655,-9215.533558521467
833.260,0.0281983,0.232575,-460.0741753774868,-9190.250142859306
833.437,0.0275586,0.231310,-459.0541956113428,-9164.966680796742
833.614,0.0269254,0.230057,-458.0326556727962,-9139.674171827251
833.791,0.0275387,0.228816,-457.0101099492719,-9114.390755214365
833.968,0.0269182,0.227588,-455.9862186189955,-9089.107293985209
834.137,0.101333,0.226373,-455.0032984798527,-9064.869661413290
834.314,0.176563,0.225170,-453.9767705744035,-9039.586196698361
834.491,0.250202,0.223979,-452.9490153145579,-9014.302735586525
834.668,0.100729,0.222794,-451.9190393326509,-8989.001851325831
834.846,0.315530,0.295658,-450.8881385878699,-8963.709340100055
835.023,0.161526,0.368150,-449.8563183930717,-8938.425298509357
835.200,1.03177,0.586217,-448.8231819243153,-8913.141836884122
835.369,0.737425,0.583933,-447.8314855978272,-8888.904203874874
835.546,1.02696,0.581672,-446.7957109198994,-8863.620789004874
835.723,0.372696,0.432921,-445.7585878059293,-8838.337327379639
835.900,0.450648,0.358927,-444.7196932570666,-8813.045440735594
836.077,0.168465,0.285315,-443.6799936461754,-8787.762027212400
836.254,0.0248279,0.212658,-442.6387671864929,-8762.477312104522
836.431,-0.0458327,0.211582,-441.5959449629920,-8737.185428112840
836.601,-0.0453573,0.210522,-440.5951426576227,-8712.939373890564
836.778,0.162466,0.278898,-439.5499582830842,-8687.655330556980
836.955,0.232175,0.277859,-438.5035686006813,-8662.371869841223
837.132,0.232812,0.276825,-437.4555165072521,-8637.079985849541
837.309,0.229373,0.274780,-436.4065440320549,-8611.796569673983
837.486,0.229047,0.273756,-435.3561079987444,-8586.513107215340
837.663,0.365296,0.272743,-434.3039758029719,-8561.220597732450
837.833,0.227076,0.203344,-433.2947989821880,-8536.992012067460
838.010,0.293727,0.202367,-432.2404461272478,-8511.707923284197
838.187,0.225512,0.201389,-431.1844286935809,-8486.415461903349
838.364,0.157657,0.200416,-430.1274067039595,-8461.131996792341
838.541,0.156331,0.199453,-429.0682580654028,-8435.831101170836
838.718,0.287624,0.264326,-428.0086444717150,-8410.547638712193
838.895,0.418275,0.328894,-426.9472212379069,-8385.255175984537
839.065,0.416917,0.327959,-425.9292226570708,-8361.026590756874
839.242,0.219954,0.261213,-424.8656059201292,-8335.743126555344
839.419,0.0885249,0.194787,-423.8002091571476,-8310.451267902830
839.596,0.151478,0.258175,-422.7338574541980,-8285.167202715851
839.773,0.407935,0.321279,-421.6661841357140,-8259.883739743811
839.950,0.598599,0.384089,-420.5969137379506,-8234.591253023793
840.127,0.469561,0.318911,-419.5265345190498,-8209.307792308036
840.296,0.277020,0.254035,-418.4995899394295,-8185.079203594601
840.474,0.0224554,0.189466,-417.4258468039603,-8159.777670759815
840.651,0.0844612,0.188609,-416.3511363566419,-8134.485810760495
840.828,0.146380,0.187760,-415.2756095298392,-8109.202371898134
841.005,0.208935,0.186915,-414.1985882032866,-8083.918283948282
841.182,0.146116,0.186079,-413.1198881866873,-8058.625797228264
841.359,0.206411,0.246693,-412.0401906598700,-8033.342357456425
841.528,0.206171,0.245879,-411.0042866916583,-8009.113771791433
841.705,0.266876,0.245068,-409.9216779472958,-7983.821284161938
841.882,0.143771,0.182814,-408.8380710456016,-7958.537821703295
842.059,0.264268,0.242396,-407.7531096717582,-7933.254384583820
842.236,0.142881,0.241605,-406.6664316512590,-7907.961899606689
842.414,0.142525,0.240822,-405.5779952006321,-7882.661615935365
842.591,0.0810139,0.179662,-404.4890025260103,-7857.376902570373
842.760,0.0814770,0.178895,-403.4442297074351,-7833.148314253017
842.937,0.140278,0.178131,-402.3522067812538,-7807.856455204424
843.114,0.0803653,0.177371,-401.2592590314912,-7782.572993975270
843.291,0.198017,0.176613,-400.1649548267929,-7757.289553370021
843.468,0.0802540,0.175868,-399.0688261319128,-7731.997068392891
843.645,0.0220114,0.175135,-397.9718761958352,-7706.713002296434
843.822,-0.0945708,0.174415,-396.8734978440016,-7681.429560781708
843.992,-0.0938974,0.173697,-395.8194047986755,-7657.192532639761
844.169,-0.0359216,0.172978,-394.7184310007671,-7631.908469195669
844.346,-0.0353626,0.172266,-393.6154288755561,-7606.607560033135
844.523,-0.0349066,0.171556,-392.5117680165683,-7581.324120261295
844.700,-0.0918967,0.170863,-391.4063785911100,-7556.031609944996
844.877,-0.0915368,0.170169,-390.2999983478657,-7530.748171082635
845.054,-0.0349210,0.169486,-389.1922260511568,-7505.464108034623
845.224,0.0214210,0.168806,-388.1291313406317,-7481.227097788149
845.401,0.0775376,0.168133,-387.0188219045110,-7455.943637072392
845.578,0.0771500,0.167466,-385.9072195762207,-7430.659570975935
845.755,0.132109,0.166803,-384.7937518231354,-7405.367710580535
845.932,0.0765667,0.166146,-383.6794578829461,-7380.084248121892
846.109,0.0212548,0.165496,-382.5637051610011,-7354.800811398498
846.286,-0.0344347,0.164853,-381.4458780092105,-7329.499901839884
846.456,-0.0340897,0.164213,-380.3737364225737,-7305.262270060123
846.633,0.0205760,0.163579,-379.2541441870953,-7279.978807601480
846.810,-0.0338299,0.162952,-378.1330929641467,-7254.695366996232
846.987,0.0742259,0.162331,-377.0101749287368,-7229.402254785005
847.164,0.0202121,0.161712,-375.8864952427757,-7204.118817152133
847.341,0.0739477,0.161100,-374.7615484560131,-7178.835376150805
847.518,-0.0335000,0.160495,-373.6346691745943,-7153.542891173674
