wave,flux,err,fit_all,fit_stell
819.186,-0.177619,0.776697,-623.5617926912097,-13918.69426709846
819.363,-0.176339,0.770901,-622.5088738577541,-13887.31754326384
819.540,0.0780760,0.765153,-621.4550051130365,-13855.96165869334
819.717,0.330602,0.759466,-620.3994738146085,-13824.59613312179
819.894,0.331839,0.753862,-619.3426548149444,-13793.24025697018
820.063,0.575087,0.748299,-618.3285240195585,-13763.19487765631
820.240,0.325027,0.742815,-617.2683060859922,-13731.82778538633
820.417,0.570215,0.737371,-616.2068707980127,-13700.47190007354
820.594,0.0762339,0.732004,-615.1439484738306,-13669.11760662059
820.772,0.317884,0.726695,-614.0790516921178,-13637.75050075237
820.949,0.313792,0.721444,-613.0130103139516,-13606.39620591496
821.118,0.551961,0.716248,-611.9900237750903,-13576.34929338717
821.295,0.547942,0.711091,-610.9202282772599,-13544.97252487181
821.472,0.310330,0.706006,-609.8491475271901,-13513.60545972274
821.649,0.0744158,0.700992,-608.7770089356992,-13482.24956321371
821.826,0.0705379,0.696015,-607.7033793564216,-13450.89523793596
822.003,0.0716214,0.691108,-606.6276806886621,-13419.52970143909
822.180,0.0726932,0.686255,-605.5508567884988,-13388.17384906874
822.350,-0.156586,0.681436,-604.5175606016936,-13358.12692470254
822.527,0.0684285,0.676651,-603.4373883289750,-13326.76137876926
822.704,0.291880,0.671898,-602.3559298936012,-13295.40548171816
822.881,0.513808,0.667281,-601.2729096274516,-13264.04963840887
823.058,0.290863,0.662696,-600.1880423778207,-13232.68409119123
823.235,0.0694664,0.658143,-599.1012587126227,-13201.30735375838
823.412,-0.150443,0.653622,-598.0135397717403,-13169.95146752817
823.582,-0.149455,0.649149,-596.9699130458042,-13139.90454658150
823.759,-0.148481,0.644739,-595.8788386216396,-13108.53900842492
823.936,-0.147513,0.640357,-594.7866371584536,-13077.18315605457
824.113,-0.146559,0.636038,-593.6929377567675,-13045.82883131889
824.290,-0.145618,0.631781,-592.5972797856576,-13014.46250191525
824.467,-0.144684,0.627554,-591.5003743359797,-12983.10665018708
824.637,-0.143760,0.623371,-590.4477509953279,-12953.05972582088
824.814,0.0621976,0.619232,-589.3472892839801,-12921.69339743477
824.991,0.0631029,0.615134,-588.2459251255266,-12890.33830411132
825.168,0.0639987,0.611080,-587.1421568780488,-12858.96156677859
825.345,-0.140158,0.607068,-586.0376505591980,-12827.60646097455
825.522,-0.139281,0.603098,-584.9310604568191,-12796.24013563262
825.699,-0.138413,0.599171,-583.8232595313453,-12764.88506026891
825.869,0.0595777,0.595267,-582.7602681791269,-12734.83813830472
826.046,0.0604278,0.591420,-581.6491750017411,-12703.47182239920
826.223,0.450486,0.587612,-580.5368330369899,-12672.11592599029
826.400,0.254190,0.583845,-579.4231084200405,-12640.76085302858
826.577,0.255011,0.580131,-578.3071781962016,-12609.39531588953
826.754,-0.133387,0.576426,-577.1903054257011,-12578.04023108941
826.931,-0.132580,0.572774,-576.0717062647008,-12546.68513370426
827.100,-0.131778,0.569145,-574.9975979671609,-12516.61576962009
827.277,-0.130990,0.565584,-573.8755793483529,-12485.25023082133
