wave,flux,err,fit_all,fit_stell
778.073,-5.12817,5.83589,-6.746057360180247,-6.747426494634105
778.131,-10.1769,5.72380,-6.741897822217846,-6.743444999830231
778.188,6.01239,5.92139,-6.737776411638050,-6.739462240079120
778.246,9.80735,5.94339,-6.733696909897578,-6.735475493430930
778.303,13.5633,6.01205,-6.729660588429273,-6.731493120296574
778.361,10.6941,5.95480,-6.725646318867752,-6.727505572232936
778.418,5.25759,5.90574,-6.721648006491336,-6.723518064423306
778.476,-1.88649,5.82631,-6.717651701988937,-6.719526177996321
778.533,-6.56096,5.75062,-6.713659915923208,-6.715534398700412
778.591,-10.2307,5.66086,-6.709665232575153,-6.711540770637366
778.648,-10.4585,5.61036,-6.705668632275206,-6.707544328330402
778.706,-8.66267,5.59244,-6.701674643822520,-6.703550031075252
778.764,-7.13775,5.53014,-6.697675925132402,-6.699551623170729
778.821,-8.84610,5.48636,-6.693678770854763,-6.695553593276122
778.879,-10.3036,5.39305,-6.689675938229454,-6.691552554031459
778.936,-20.0211,5.09506,-6.685676963941370,-6.687553193355616
778.994,-25.4539,4.91831,-6.681670434199483,-6.683545867244400
779.051,-26.2024,4.90339,-6.677669323945953,-6.679544593945348
779.109,-27.3466,4.82349,-6.673659805809780,-6.675536026097438
779.166,-23.8109,4.98882,-6.669654707611432,-6.671530213892649
779.224,-15.1986,5.31527,-6.665648408308703,-6.667525086658957
779.281,-9.54297,5.56775,-6.661630965616448,-6.663507413063405
779.339,-7.14600,5.66654,-6.657625300439211,-6.659501864113785
779.396,-4.16777,5.81040,-6.653604874801911,-6.655480660067423
779.454,-2.81141,5.78507,-6.649594075602275,-6.651469712225868
779.511,-1.17673,5.80627,-6.645574098614026,-6.647450432890324
779.569,-0.255961,5.70351,-6.641559114302273,-6.643435500547644
779.627,0.633085,5.61185,-6.637533764856941,-6.639410077066497
779.684,2.24270,5.53423,-6.633519200742541,-6.635395525062796
779.741,0.887450,5.41383,-6.629498574682843,-6.631374768606434
779.799,-0.811852,5.28166,-6.625469740571786,-6.627347447982900
779.857,-2.20484,5.23877,-6.621449783461541,-6.623326818346984
779.914,-3.34630,5.20621,-6.617416871666044,-6.619294874115487
779.972,-4.05553,5.15524,-6.613391176115425,-6.615268985507283
780.029,-3.58892,5.14186,-6.609360631259429,-6.611237620239496
780.087,-2.21451,5.12334,-6.605331929810180,-6.607208444970915
780.144,-0.926608,5.10998,-6.601300640414085,-6.603178286950837
780.202,-1.33087,5.08410,-6.597265308647542,-6.599141956766682
780.259,-0.302194,5.10537,-6.593232638464598,-6.595110893377722
780.317,-0.427381,5.08981,-6.589193035101553,-6.591070753746447
780.374,-1.70648,5.10223,-6.585156278483713,-6.587033565583447
780.432,-1.84080,5.09551,-6.581110926994052,-6.582988652318567
780.489,0.250755,5.11897,-6.577071557344536,-6.578948572002025
780.547,-1.54230,5.09239,-6.573027934968056,-6.574905108241567
780.604,-1.41875,5.08935,-6.568985306179899,-6.570863226882413
780.662,0.0568014,5.06571,-6.564943486145927,-6.566821031407726
780.719,0.0434364,5.03989,-6.560894666024109,-6.562772192092297
780.777,-0.285667,5.02141,-6.556844318220366,-6.558720934980413
780.835,1.20364,5.03970,-6.552795439808443,-6.554672741971415
780.892,0.489462,5.01315,-6.548745832407994,-6.550623680328065
780.950,0.629096,5.00352,-6.544688010328374,-6.546566029412509
781.007,0.637867,4.99831,-6.540635995581394,-6.542512795902999
781.065,-0.508453,4.93871,-6.536582445336933,-6.538459869218865
781.122,0.471951,4.89235,-6.532523194287158,-6.534401846987779
781.180,0.927042,4.86217,-6.528465843689506,-6.530344589183628
781.237,-0.509782,4.81290,-6.524404352334698,-6.526282072467693
781.295,-0.0931017,4.77980,-6.520344337342404,-6.522221874871844
781.352,0.00415753,4.77535,-6.516279820880598,-6.518158523306838
781.410,0.484896,4.76209,-6.512217153796168,-6.514095890000219
781.467,-0.564917,4.74663,-6.508145415329194,-6.510023559819492
781.525,0.381705,4.72606,-6.504080140135213,-6.505958043391327
781.582,0.650524,4.70841,-6.500013321602666,-6.501891337823603
781.640,1.27138,4.68857,-6.495941421617200,-6.497819660375441
781.697,0.0344956,4.64306,-6.491872200732015,-6.493750767971527
781.755,0.641824,4.62396,-6.487796986105858,-6.489675990260459
781.812,-0.342261,4.60195,-6.483724161528877,-6.485602481505572
781.870,-0.106875,4.59680,-6.479647183825438,-6.481525666141374
781.928,-1.91525,4.56746,-6.475566239602275,-6.477444253225876
781.985,-1.03583,4.58284,-6.471494203089992,-6.473371615219913
782.043,0.213316,4.57696,-6.467407827173103,-6.469285966473943
782.100,2.07111,4.59087,-6.463328206945124,-6.465207422956690
782.158,2.96386,4.57035,-6.459242819712179,-6.461121755392223
782.215,3.61682,4.54911,-6.455160256299473,-6.457038532220984
782.273,1.24854,4.48101,-6.451071408622722,-6.452949375091497
782.330,0.286784,4.44439,-6.446986750247445,-6.448865732662881
782.388,-0.874318,4.39608,-6.442899021332827,-6.444776694057412
782.445,-2.90319,4.36461,-6.438802656854968,-6.440680341822931
782.503,-2.65411,4.35804,-6.434713542314090,-6.436592319089528
782.560,-0.255924,4.38660,-6.430616473819318,-6.432494021054752
782.618,0.467749,4.40197,-6.426523978194064,-6.428402102408495
782.675,0.941673,4.41223,-6.422425716764813,-6.424303069682844
782.733,1.95300,4.41152,-6.418330082453881,-6.420208224861938
782.791,1.79605,4.38888,-6.414229155675057,-6.416108191053722
782.848,0.531275,4.33626,-6.410130402589007,-6.412007782185118
782.906,-0.264599,4.28219,-6.406029629355428,-6.407907151708949
782.963,-2.46836,4.21206,-6.401924743399357,-6.403803234972180
783.021,-2.20629,4.18140,-6.397817145850045,-6.399696230297613
783.078,-1.10655,4.17121,-6.393709014931992,-6.395587112432248
783.136,0.138374,4.17637,-6.389603470419267,-6.391481653817005
783.193,-1.01530,4.13918,-6.385491911899959,-6.387370764652837
783.251,0.685227,4.14801,-6.381382209943255,-6.383260160852103
783.308,0.204755,4.14441,-6.377271484805911,-6.379148881820127
783.366,-0.0496273,4.13278,-6.373156163189272,-6.375034306537400
783.423,-0.865615,4.11458,-6.369042112651744,-6.370919914863800
783.481,-0.165109,4.13070,-6.364924551576792,-6.366802831227917
783.538,-0.102266,4.12712,-6.360803844597172,-6.362682230318564
783.596,-1.78068,4.08560,-6.356682233030122,-6.358560591263500
783.653,-3.08370,4.04190,-6.352562834333106,-6.354441517232784
783.711,-3.41796,4.01498,-6.348439544613115,-6.350317214139967
783.768,-1.95535,3.99900,-6.344317390390658,-6.346196307566825
783.826,-0.0999915,3.99907,-6.340193607751284,-6.342071496981429
783.884,1.59357,3.99478,-6.336064402106776,-6.337943270311944
783.941,3.66421,4.01162,-6.331938471676155,-6.333816758573738
783.999,4.34763,4.00806,-6.327801725055268,-6.329680004959368
784.056,2.94902,3.97827,-6.323673244205611,-6.325552346431667
784.114,2.61083,3.96013,-6.319538125281777,-6.321416723347329
784.171,1.70419,3.94347,-6.315404964227165,-6.317283886007097
784.229,1.13841,3.92316,-6.311271292971629,-6.313148742756856
784.286,-0.151402,3.90068,-6.307133273959107,-6.309012194254286
784.344,0.0741645,3.90368,-6.302997178496367,-6.304874838849164
784.401,0.584979,3.90740,-6.298854214246524,-6.300732374623041
784.459,1.71624,3.93005,-6.294714451262093,-6.296592750236178
784.516,1.96931,3.95779,-6.290565251983669,-6.292443071892503
784.574,2.11571,3.97607,-6.286423625768195,-6.288302023497174
784.631,1.53057,3.98416,-6.282274855347523,-6.284153467467225
784.689,0.305157,3.98206,-6.278131199483771,-6.280008712943712
784.746,-0.148780,3.98722,-6.273984864374686,-6.275862332252919
784.804,-0.479630,3.97712,-6.269831731100280,-6.271709491259355
784.862,0.440496,3.96630,-6.265682299410710,-6.267560222276019
784.919,1.98651,3.95767,-6.261527122783925,-6.263405076251516
784.977,2.15795,3.94176,-6.257375253273699,-6.259253108230561
785.034,2.58322,3.90261,-6.253212085978433,-6.255090873360179
785.092,1.62666,3.87073,-6.249057053633012,-6.250935254472552
785.149,1.09651,3.88026,-6.244900257804886,-6.246778210858801
785.207,0.201546,3.89923,-6.240738031329473,-6.242615831773738
785.264,-0.0757519,3.90005,-6.236578193732537,-6.238455487352221
785.322,0.112261,3.90451,-6.232412783435383,-6.234289906870766
785.379,1.59032,3.89227,-6.228250704638365,-6.230128929093038
785.437,2.84935,3.85173,-6.224081599893315,-6.225959394461126
785.494,3.76606,3.79377,-6.219916642249266,-6.221793879886909
785.552,3.47035,3.75107,-6.215740028122394,-6.217617042520145
785.609,3.31207,3.73666,-6.211576751379950,-6.213454124373693
785.667,1.74280,3.73895,-6.207402369689399,-6.209279727501139
785.724,2.49159,3.76952,-6.203227671753622,-6.205104421554273
785.782,2.28012,3.76674,-6.199054516172025,-6.200931699607433
785.840,2.99544,3.75962,-6.194874448676520,-6.196752176110805
785.897,3.32703,3.72198,-6.190700449214591,-6.192577648290341
785.955,4.18812,3.67267,-6.186519810307588,-6.188396351529540
786.012,2.62707,3.59026,-6.182334863017009,-6.184211562556041
786.070,2.70014,3.56482,-6.178154601295588,-6.180031794607203
786.127,3.50424,3.56930,-6.173973404188742,-6.175850501323740
786.185,3.63394,3.59919,-6.169785645591485,-6.171661815179029
786.242,4.23143,3.64147,-6.165598170117200,-6.167475348441974
786.300,4.38016,3.68571,-6.161411392170105,-6.163288332014270
786.357,3.99142,3.69309,-6.157220768967168,-6.159096860673801
786.415,3.60978,3.67303,-6.153032488077239,-6.154908766487703
786.472,3.40808,3.62670,-6.148837187603308,-6.150713523315214
786.530,2.43576,3.54530,-6.144640980052257,-6.146517704606120
786.587,2.49855,3.47390,-6.140453087358755,-6.142329400002901
786.645,1.96474,3.41438,-6.136252673146353,-6.138128444409127
786.702,0.595585,3.35727,-6.132052064924591,-6.133927843841358
786.760,-0.324060,3.31622,-6.127855091945589,-6.129730536685971
786.818,-0.318344,3.32789,-6.123652036870901,-6.125527693033089
786.875,0.737918,3.37460,-6.119447887746933,-6.121323628296572
786.933,1.50588,3.41568,-6.115245795462967,-6.117122432181171
786.990,1.88204,3.45358,-6.111041967218683,-6.112917549554047
787.048,2.00999,3.47687,-6.106828802070765,-6.108705213757992
787.105,2.29531,3.47127,-6.102628036205009,-6.104503600187651
787.163,0.646783,3.41126,-6.098410576568887,-6.100285832498439
787.220,0.125275,3.36298,-6.094201231570016,-6.096077205921874
787.278,0.639638,3.31651,-6.089991698645132,-6.091867116820033
787.335,0.623915,3.27720,-6.085773648521782,-6.087649317856819
787.393,0.420066,3.23899,-6.081557538393251,-6.083433519339357
787.450,1.06251,3.22201,-6.077341937433199,-6.079217467110596
787.508,1.96261,3.20842,-6.073124598815006,-6.075000005337463
787.565,2.26803,3.20371,-6.068902585484057,-6.070777954914359
787.623,1.74946,3.20340,-6.064684170720131,-6.066559831229508
787.680,2.02732,3.22833,-6.060454305674964,-6.062329437275521
787.738,1.21522,3.25175,-6.056236228409057,-6.058110980625728
787.796,0.0131674,3.27105,-6.052004113047195,-6.053879439737937
787.853,-0.272878,3.27643,-6.047779240920991,-6.049653698686312
787.911,0.623926,3.27022,-6.043551864773193,-6.045426919551432
787.968,-0.291020,3.22451,-6.039320589893130,-6.041195635911275
788.026,-0.0972641,3.18235,-6.035091273662019,-6.036965978593567
788.083,0.262022,3.13083,-6.030855755111004,-6.032730442555684
788.141,-0.659050,3.07882,-6.026621967112400,-6.028496545775883
788.198,-1.35627,3.03280,-6.022380791691620,-6.024255072704392
788.256,-1.19329,3.01654,-6.018149391791279,-6.020023766581138
788.313,-0.934721,3.00056,-6.013903939229984,-6.015778008212089
788.371,-1.44912,2.98302,-6.009665035692507,-6.011539397118026
788.428,-1.26113,2.98174,-6.005430104611498,-6.007304190444450
788.486,-1.23956,2.99226,-6.001180468621617,-6.003054771035414
788.543,-0.705874,3.00803,-5.996938473463802,-5.998812459417251
788.601,-0.571188,3.03264,-5.992690268839256,-5.994563814387203
788.658,-0.105520,3.07084,-5.988444521385704,-5.990318189888119
788.716,0.366405,3.10536,-5.984192809959381,-5.986066237776002
788.773,0.893934,3.12989,-5.979944389174529,-5.981817694896487
788.831,1.65002,3.12824,-5.975690646831520,-5.977563467679420
788.889,2.72063,3.11753,-5.971433580594925,-5.973306476813413
788.946,3.66693,3.09834,-5.967181168445284,-5.969054019593823
789.004,2.76433,3.04108,-5.962923242713293,-5.964796128657452
789.061,2.31216,2.98657,-5.958667021849019,-5.960539857489786
789.119,1.63296,2.94579,-5.954406407603164,-5.956279033799557
789.176,0.343989,2.90580,-5.950147116501059,-5.952019890569220
789.234,-0.976129,2.86906,-5.945883371453467,-5.947755490646742
789.291,-0.00998874,2.87053,-5.941621641310397,-5.943494106394843
789.349,-0.00885312,2.85780,-5.937354338353732,-5.939226787138591
789.406,-1.06534,2.84176,-5.933090578741019,-5.934962690416477
789.464,-0.614161,2.83448,-5.928819094952474,-5.930691186439530
789.521,0.280132,2.83402,-5.924546511731636,-5.926418023008465
789.579,-0.841068,2.82179,-5.920278324061232,-5.922150453072075
789.636,-0.626486,2.84120,-5.916003884781905,-5.917875193034301
789.694,-0.291670,2.86082,-5.911732608966095,-5.913604292343840
789.751,-0.718474,2.87003,-5.907459320210102,-5.909330620702355
789.809,-1.73849,2.86362,-5.903182218389944,-5.905053849921321
789.867,-0.760746,2.87069,-5.898900499162353,-5.900771942828319
789.924,-0.234374,2.86914,-5.894622102016093,-5.896493478016330
789.982,0.725939,2.85184,-5.890338617312720,-5.892209327857831
790.039,1.20923,2.83447,-5.886053335812430,-5.887923935683306
790.097,2.06043,2.82606,-5.881772051401821,-5.883642422551210
790.154,2.09061,2.80778,-5.877489410791355,-5.879360303615564
790.212,1.12807,2.77137,-5.873200537966635,-5.875071395746642
790.269,0.461512,2.75346,-5.868914805917861,-5.870785076375868
790.327,0.165771,2.74220,-5.864621968111602,-5.866492636660319
790.384,0.258972,2.73845,-5.860332714424030,-5.862202362601669
790.442,-0.208146,2.72756,-5.856032502004220,-5.857902070433582
790.499,0.488458,2.73442,-5.851740753675689,-5.853610364285056
790.557,1.03170,2.73884,-5.847442848802517,-5.849312143022760
790.614,0.246295,2.72438,-5.843148623470951,-5.845018154046740
790.672,-1.00524,2.70964,-5.838852029035376,-5.840721051283225
790.729,-0.934940,2.71399,-5.834549144978460,-5.836418164292555
790.787,-0.693637,2.72312,-5.830249672821003,-5.832119240675529
790.844,-0.191075,2.73504,-5.825944990724595,-5.827813457939443
790.902,0.827673,2.75154,-5.821644195987636,-5.823512737747038
790.960,1.97757,2.75832,-5.817330219195861,-5.819199142829015
