Parameter,Value,Error
"redshift",2.92600,0.00000
"S/N",4.76364,0.00000
"Vdisp",75.0000,0.00000
"Stellar",3.29801e+06,1.81552e+06
"E(B-V)",0.261001,0.0131620
"fcov(HI)",0.982926,0.0331684
"fcov(OVI)",1.00000,0.00000
"fcov(OI)",1.00000,0.00000
"fcov(CII)",1.00000,0.00000
"log_n(HI)",17.5461,0.813791
"log_n(OVI)",15.2708,0.149613
"log_n(OI)",16.1140,0.0281986
"log_n(CII)",15.4687,0.0800111
"b(HI)",254.168,61.4252
"b(OVI)",116.229,24.2234
"b(OI)",175.830,18.6833
"b(CII)",228.007,33.0239
"v(HI)",-170.174,33.8714
"v(OVI)",-313.983,14.9342
"v(OI)",-246.218,10.7356
"v(CII)",-208.057,28.8881
