# This is s1226-all-comb1.txt the combined spectrum created by combine_mage_spectra.pro from s1226-all.ls
# Total exptime should be        44705.000 s  (       12.418056 hr)
# 4010.0 +/- 173.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/s1226+2152b-tel-comb.txt      -15.340000       7800.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/s1226+2152a-tel-comb.txt      -15.870000       3600.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2008/Mage_pipe/Reduce_slit2/Final-Products/Fluxed/s1226-tel-comb.txt       17.050000       10505.000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226b-tel-comb.txt      -28.870000       6600.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226c-tel-comb.txt      -29.040000       7200.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226d-tel-comb.txt      -28.970000       5400.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2010/Reduce_slit0.7/Final-Products/Fluxed/sdss1226a-tel-comb.txt      -28.800000       3600.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
wave        fnu          noise     obswave    avgsky      cont_fnu    cont_uncert
 3054.7154  -1.384e-28   1.575e-28  3053.984   6.225e-28   6.440e-29   6.861e-29
 3054.9413  -2.747e-28   1.545e-28  3054.209   6.816e-28   6.405e-29   6.804e-29
 3055.1671   3.631e-28   1.650e-28  3054.435   6.570e-28   6.371e-29   6.746e-29
 3055.3930   3.178e-28   1.578e-28  3054.661   6.836e-28   6.338e-29   6.690e-29
 3055.6188   5.441e-28   1.645e-28  3054.887   4.419e-28   6.304e-29   6.634e-29
 3055.8447   3.740e-28   1.606e-28  3055.113   6.804e-28   6.271e-29   6.578e-29
 3056.0705   2.324e-28   1.639e-28  3055.338        -NaN   6.238e-29   6.522e-29
 3056.2964  -2.422e-29   1.574e-28  3055.564        -NaN   6.206e-29   6.467e-29
 3056.5223  -4.165e-28   1.513e-28  3055.790        -NaN   6.173e-29   6.413e-29
 3056.7481  -4.209e-28   1.539e-28  3056.016        -NaN   6.141e-29   6.359e-29
 3056.9740  -2.575e-28   1.505e-28  3056.242   7.430e-28   6.109e-29   6.305e-29
 3057.1998  -2.635e-28   1.519e-28  3056.468   7.502e-28   6.077e-29   6.252e-29
 3057.4257  -5.503e-29   1.507e-28  3056.693   6.538e-28   6.046e-29   6.199e-29
 3057.6515  -1.740e-28   1.490e-28  3056.919   7.069e-28   6.015e-29   6.146e-29
 3057.8774  -2.150e-28   1.456e-28  3057.145   5.942e-28   5.984e-29   6.094e-29
 3058.1032  -4.888e-28   1.447e-28  3057.371   6.185e-28   5.953e-29   6.043e-29
 3058.3291  -4.609e-28   1.394e-28  3057.597   6.351e-28   5.922e-29   5.991e-29
 3058.5550  -1.370e-27   1.105e-28  3057.822   3.726e-28   5.892e-29   5.940e-29
 3058.7808  -9.094e-28   1.252e-28  3058.048   3.385e-28   5.862e-29   5.890e-29
 3059.0067  -3.165e-28   1.437e-28  3058.274   6.521e-28   5.832e-29   5.840e-29
