# This is s1527-comb1.txt the combined spectrum created by combine_mage_spectra.pro from s1527.ls
# Total exptime should be        30312.000 s  (       8.4200000 hr)
# 2736.0 +/- 71.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/s1527c-comb.txt      -26.560000       9012.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/s1527a-comb.txt      -26.430000       3600.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/s1527b-comb.txt      -26.320000       3600.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Feb2008/Mage_pipe/Reduce_slit2/Final-Products/Fluxed/s1527-tel-comb.txt       27.610000       900.00000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/sdss1527a-comb.txt       7.5600000       5400.0000
#           /Volumes/Apps_and_Docs/WORK/Lensed-LBGs/Mage/Redux/Mage_Jun2015/Slit1/Final-Products/Fluxed/sgas1527a_notbluestorder-comb.txt      -13.470000       7800.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
wave        fnu          noise     obswave    avgsky      cont_fnu    cont_uncert
 3032.5734   7.566e-27   3.528e-28  3031.959   1.481e-27         NaN         NaN
 3032.8001   4.687e-27   2.948e-28  3032.186   1.040e-27         NaN         NaN
 3033.0269   2.475e-27   2.227e-28  3032.413   1.119e-27         NaN         NaN
 3033.2537   7.067e-28   1.527e-28  3032.640   6.054e-28         NaN         NaN
 3033.4804  -1.371e-27   8.825e-29  3032.866   4.645e-28         NaN         NaN
 3033.7072  -1.388e-28   2.300e-28  3033.093   4.920e-28         NaN         NaN
 3033.9340  -1.798e-27   6.169e-29  3033.320   3.329e-28         NaN         NaN
 3034.1607  -8.983e-29   1.317e-28  3033.546   4.760e-28         NaN         NaN
 3034.3875   1.943e-28   1.361e-28  3033.773   4.278e-28         NaN         NaN
 3034.6143  -6.065e-28   1.048e-28  3034.000   1.857e-28         NaN         NaN
 3034.8411   5.619e-28   1.410e-28  3034.227   2.624e-28         NaN         NaN
 3035.0679  -1.408e-27   6.820e-29  3034.454   1.297e-28         NaN         NaN
 3035.2946   7.969e-28   1.522e-28  3034.680   4.589e-28         NaN         NaN
 3035.5214  -8.424e-28   1.997e-28  3034.907   6.638e-28         NaN         NaN
 3035.7482  -8.409e-28   9.318e-29  3035.134   1.705e-28         NaN         NaN
 3035.9749   6.971e-28   1.455e-28  3035.360   6.337e-28         NaN         NaN
 3036.2017  -1.928e-28   1.212e-28  3035.587   3.729e-28         NaN         NaN
 3036.4285   2.023e-29   1.372e-28  3035.814   2.307e-28         NaN         NaN
 3036.6553   5.566e-28   1.592e-28  3036.041   4.700e-28         NaN         NaN
 3036.8821  -1.649e-30   1.395e-28  3036.267   3.596e-28         NaN         NaN
 3037.1088  -6.603e-28   1.177e-28  3036.494   3.820e-28         NaN         NaN
 3037.3356  -1.199e-27   1.066e-28  3036.721   5.939e-28         NaN         NaN
 3037.5624   2.492e-28   1.447e-28  3036.948   3.167e-28         NaN         NaN
 3037.7892  -2.802e-28   1.322e-28  3037.174   4.460e-28         NaN         NaN
 3038.0159  -4.539e-28   1.229e-28  3037.401   7.384e-28         NaN         NaN
 3038.2427   1.763e-28   1.345e-28  3037.628   7.376e-28         NaN         NaN
