wave,flux,err,fit_all,fit_stell
785.315,0.943735,1.94824,-668.0704395756882,-668.1909982451521
785.378,-0.209579,1.94829,-667.9144499305081,-668.0498187178157
785.442,0.920786,1.93074,-667.7612039658346,-667.9085373035042
785.506,1.29393,1.91161,-667.6109329121828,-667.7666183607580
785.569,1.45592,1.89758,-667.4636513335985,-667.6249607749592
785.633,2.17766,1.88919,-667.3186826471716,-667.4827794240679
785.697,1.80034,1.86726,-667.1746751461957,-667.3403818014879
785.760,1.35769,1.85747,-667.0315917963927,-667.1977640508247
785.824,0.842849,1.85227,-666.8883840607231,-667.0549899720663
785.887,0.615641,1.83976,-666.7454411086600,-666.9123590080171
785.951,1.05960,1.84000,-666.6020572393339,-666.7688450341192
786.015,0.960633,1.83050,-666.4585919065341,-666.6255354629407
786.078,1.70245,1.82899,-666.3144915632653,-666.4813292887017
786.142,1.54449,1.82599,-666.1708811964336,-666.3379954639327
786.206,1.79148,1.83555,-666.0268695862364,-666.1940943078561
786.269,0.424149,1.81261,-665.8823344550985,-666.0496590641771
786.333,0.466939,1.81225,-665.7374982923005,-665.9046965872304
786.397,0.135247,1.81680,-665.5929345372102,-665.7603060294505
786.460,0.392127,1.82346,-665.4477577955774,-665.6152715223801
786.524,0.132112,1.81808,-665.3025472470601,-665.4701414750125
786.587,0.973509,1.82869,-665.1567235096634,-665.3243675527358
786.651,1.03918,1.82579,-665.0110831044885,-665.1787979929774
786.715,1.12618,1.81052,-664.8649510937693,-665.0327061616939
786.778,1.01427,1.78588,-664.7190026783400,-664.8868703204274
786.842,1.07848,1.77316,-664.5724398480171,-664.7403378948114
786.906,0.970087,1.75799,-664.4258439045944,-664.5941225654188
786.969,0.222501,1.75369,-664.2789722712281,-664.4473227956339
787.033,-0.0374434,1.76069,-664.1319452025816,-664.3002556189550
787.097,-0.289942,1.78478,-663.9843340434828,-664.1527063924372
787.160,0.0994098,1.79536,-663.8373056801207,-664.0056797108421
787.224,0.173699,1.80596,-663.6894152173010,-663.8577603551778
787.287,0.798763,1.81541,-663.5414308808828,-663.7100455961606
787.351,0.935092,1.82274,-663.3930768643930,-663.5617336217077
787.415,1.33230,1.82386,-663.2447524454388,-663.4135883236768
787.478,0.986037,1.82472,-663.0960264808667,-663.2649454837493
787.542,0.477653,1.83896,-662.9472998004339,-663.1161108577171
787.606,-0.197519,1.85967,-662.7979555881667,-662.9670368437512
787.669,0.0983789,1.88115,-662.6488571133282,-662.8178209247044
787.733,0.209778,1.91232,-662.4991404190474,-662.6683644483784
787.796,0.408004,1.92821,-662.3496697135188,-662.5187667207040
787.860,0.988799,1.95605,-662.1997356269269,-662.3690033682750
787.924,1.61642,1.98335,-662.0493983479927,-662.2189366659692
787.987,0.760529,2.00365,-661.8990915136277,-662.0684345081502
788.051,0.320223,1.98850,-661.7485040445596,-661.9181075657426
788.115,0.491088,1.99161,-661.5974856468162,-661.7672119944166
788.178,0.0755806,1.97952,-661.4465244664847,-661.6161455808286
788.242,-0.0714201,1.96795,-661.2951942843137,-661.4648779339534
788.306,0.451300,1.94791,-661.1434874349819,-661.3134111582980
