# This is cosmiceye-comb1.txt the combined spectrum created by combine_mage_spectra.pro from cosmiceye.ls
# Total exptime should be        32800.000 s  (       9.1111111 hr)
# 2533.0 +/- 114.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/cosmiceye_b-comb.txt       9.6100000       7000.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/cosmiceye_a-comb.txt       10.060000       3600.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x1/Final-Products/Fluxed/cosmiceye_c-comb.txt       8.6300000       3600.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_July2008/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/cosmiceye-comb.txt       9.0300000       9000.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/cosmiceye_a-comb.txt       26.610000       3600.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/cosmiceye_b-comb.txt       26.790000       3600.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_Apr_2009/Mage_pipe/Slit2_bin1x2/Final-Products/Fluxed/cosmiceye_c-comb.txt       26.960000       2400.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
wave        fnu          noise     obswave    avgsky      cont_fnu    cont_uncert
 3200.0273   2.143e-29   4.424e-29  3199.000   4.684e-28   2.522e-29   3.905e-30
 3200.2866  -4.760e-30   4.425e-29  3199.259   4.892e-28   2.516e-29   3.864e-30
 3200.5459  -2.931e-29   4.365e-29  3199.519   4.981e-28   2.509e-29   3.823e-30
 3200.8052   7.817e-29   4.425e-29  3199.778   4.201e-28   2.503e-29   3.783e-30
 3201.0645   3.908e-29   4.291e-29  3200.037   3.782e-28   2.497e-29   3.744e-30
 3201.3238   6.386e-29   4.211e-29  3200.296   3.580e-28   2.490e-29   3.705e-30
 3201.5830   1.365e-29   4.270e-29  3200.555   4.295e-28   2.484e-29   3.668e-30
 3201.8423   5.272e-29   4.274e-29  3200.815   3.869e-28   2.478e-29   3.631e-30
 3202.1016   3.534e-29   4.180e-29  3201.074   3.907e-28   2.471e-29   3.594e-30
 3202.3609  -1.123e-29   4.184e-29  3201.333   4.279e-28   2.465e-29   3.559e-30
 3202.6202   5.353e-30   4.156e-29  3201.592   4.053e-28   2.459e-29   3.524e-30
 3202.8795  -1.219e-29   4.132e-29  3201.852   4.416e-28   2.453e-29   3.489e-30
 3203.1388   1.033e-28   4.281e-29  3202.111   4.264e-28   2.447e-29   3.456e-30
 3203.3981   2.411e-29   4.076e-29  3202.370   3.449e-28   2.441e-29   3.423e-30
 3203.6573   7.322e-29   4.171e-29  3202.629   3.796e-28   2.435e-29   3.391e-30
 3203.9166  -1.263e-29   4.126e-29  3202.888   4.638e-28   2.429e-29   3.359e-30
 3204.1760   1.593e-29   4.245e-29  3203.148   4.915e-28   2.423e-29   3.328e-30
 3204.4353  -5.237e-29   4.024e-29  3203.407   4.780e-28   2.417e-29   3.298e-30
 3204.6945   2.901e-29   4.076e-29  3203.666   4.218e-28   2.412e-29   3.268e-30
 3204.9538   3.549e-29   4.227e-29  3203.925   4.630e-28   2.406e-29   3.239e-30
 3205.2131   1.664e-29   4.206e-29  3204.184   5.580e-28   2.400e-29   3.211e-30
 3205.4724  -1.370e-29   4.188e-29  3204.444   5.143e-28   2.394e-29   3.183e-30
 3205.7317   4.353e-29   4.149e-29  3204.703   4.364e-28   2.389e-29   3.156e-30
 3205.9910   3.653e-29   4.047e-29  3204.962   4.301e-28   2.383e-29   3.129e-30
 3206.2503   4.545e-29   4.057e-29  3205.221   3.953e-28   2.378e-29   3.103e-30
 3206.5096   3.887e-30   3.929e-29  3205.481   3.962e-28   2.372e-29   3.078e-30
 3206.7688  -6.385e-30   4.047e-29  3205.740   4.788e-28   2.367e-29   3.053e-30
 3207.0281   3.120e-29   3.980e-29  3205.999   4.511e-28   2.361e-29   3.028e-30
 3207.2875  -4.879e-29   4.002e-29  3206.258   4.918e-28   2.356e-29   3.005e-30
 3207.5467   1.581e-29   4.141e-29  3206.517   6.030e-28   2.350e-29   2.982e-30
 3207.8060  -2.495e-29   4.208e-29  3206.777   6.295e-28   2.345e-29   2.959e-30
 3208.0653   3.809e-29   4.172e-29  3207.036   5.952e-28   2.340e-29   2.937e-30
 3208.3246   3.972e-29   4.105e-29  3207.295   5.107e-28   2.334e-29   2.915e-30
 3208.5838   2.260e-29   4.114e-29  3207.554   5.882e-28   2.329e-29   2.894e-30
 3208.8432   3.141e-29   4.229e-29  3207.814   6.505e-28   2.324e-29   2.873e-30
 3209.1025   2.044e-29   4.225e-29  3208.073   6.590e-28   2.319e-29   2.853e-30
 3209.3618  -1.470e-30   4.186e-29  3208.332   6.255e-28   2.314e-29   2.834e-30
 3209.6210  -1.839e-29   4.272e-29  3208.591   8.165e-28   2.308e-29   2.815e-30
 3209.8803  -5.462e-29   4.355e-29  3208.850   8.904e-28   2.303e-29   2.796e-30
 3210.1396   6.530e-29   4.479e-29  3209.110   8.462e-28   2.298e-29   2.778e-30
 3210.3990   3.321e-29   4.586e-29  3209.369   9.926e-28   2.293e-29   2.760e-30
 3210.6582   2.122e-29   4.372e-29  3209.628   8.564e-28   2.288e-29   2.743e-30
 3210.9175   4.809e-29   4.595e-29  3209.887   9.983e-28   2.283e-29   2.726e-30
 3211.1768   1.720e-29   4.672e-29  3210.146   1.100e-27   2.278e-29   2.710e-30
 3211.4361  -3.267e-29   4.716e-29  3210.406   1.158e-27   2.274e-29   2.694e-30
 3211.6953  -1.720e-29   4.417e-29  3210.665   9.068e-28   2.269e-29   2.679e-30
 3211.9547   4.082e-29   4.412e-29  3210.924   8.237e-28   2.264e-29   2.664e-30
