"Label","case","sampl","types","zused","R","SN","logoh","Errlogoh","Models","T","Size","rc","EbvMW","SFR","SFRdens","Logm","EW","Ewdiv","Errew","Errewdiv","Lumdist","Lumdistb","distratio","Fluxb","Lumb","Fluxlya","Errfluxlya","Lumha","Errlumha","Lumhb","Errlumhb","Lumlya","Errlumlya","FescLya","Errfesclya","Fesclyacorr","FescLyalog","Errfesclyalog","fmincont","errfmincont","flyamax","errflymax","ratio","lyaaym","Vtroughblue","Vtroughred","Errvtough","Vblue","Errvblue","Vred","Errvred","Vsep","Errvsep","Vbluecorr","Vblueinv","Errvbluecorr","Vredcorr","Errvredcorr","Vsepcorr","Errvsepcorr","Vwidthmin","Errvwidthmin","Vwidthmax","Errvwidthmax","OIII","ErrOIII","SiIIew","ErrSiIIew","VsiII","ErrvsiII","SiIIIew","ErrSiIIIew","Ageizo","Errage","Age","Ebv","Errebv","Ebvho","Errebvho","NHI","ErrN","ErrtotN","NsiII","ErrnsiII","NcII","ErrncII","NsIII","ErrnSIII","NOIfree","Errnofree","Nhfromno","Errnhfromno","Nsifromno","Bhfree","Errbhfree","Bofree","ErrBofree","Vshiftz","Vfree","Errvfree","Vofree","Errvofree","VsiIIb","ErrvsiIIb","VcII","ErrvcII","VsIII","ErrVsIII","Cfsidoublet","Errcfsidoublet","CfsiA","ErrcfsiA","Cfsiav","Cfsierr","Cffree","Errcffree","Errcffreetot","Cfdepth","Errcfdepth","Cfav","Invcfav","Cfstd","Cfho","Errcfho","Fescknown","Errfescknown","fesclycebv","Errfescebv","fescmescf","Errfescmescf","fescmescfh","Errfescmescfh","fesclyaebv","Errfesclyaebv","fesclyames","Errfesclyames","fcovcorr","Errfcovcorr","fcovsicorr","Errfcovsicorr","fesctot","Errz","fesclyames","ratioatt","ratioobs","Attlycred","Attlyared","Attlycsmc","Attlyasmc"
"J0921+4509",1,0,1,0.235,20,3.27,8.67,0.14,"Z",,,,0.016,77,7.9,9.7,5,0.045454545454546,3,0.027272727272727,1222,1222,1,,8.15,155,20,,,,,8.15,0.36,0.01,0.01,0.001,-1.974,0.409,0.14,0.1,,,,5.64,-220,0,50,-460,50,200,50,660,71,-240,240,50,200,50,440,71,440,20,600,29.9999999595,0.3,0,0.67,0.07,-47,7,1.13,0.06,,,2.85,0.222,0.015,0.254,0.035,17.94,3.02,3.22,16.16,0.04,15.21,0.04,,,15.3,0.13,18.63,0.19,14.11,95,49,45,15,2,-56,13,62,11,-71,12,67,20,,,0.655,0.321,0.594,0.15,0.6,0.14,0.754,0.092,0.111,0.769,0.116,0.761,0.239,0.08,0.982,0.006,0.01,,0.072,0.013,0.017,0.007,0.018,0.006,0.132,0.023,0.031,0.011,0.983,0.013,0.952,0.016,0.017,0,0.031,0.547066347246291,0.942528735632182,,,,
"J1503+3644",12,0,1,0.3557,200,3.3,7.95,0.06,"Z02",14850,1.34,0.4,0.013,24,6.8,8,98,0.890909090909091,3,0.027272727272727,1965,1975,0.99,156,7,196,20,3.5,0.28,1.25,0.07,9.06,0.92,0.3,0.04,0.039,-0.526,0.059,0.95,0.68,1.34E-14,1.13E-15,97000000000000,3.4,-100,-100,50,-300,30,140,30,440,42,-200,200,30,240,30,440,42,356,49,778,52,4.9,0.11,0.56,0.11,-187,79,1.09,0.22,4,,4.19,0.217,0.014,0.361,0.019,20.5,1.95,2.33,15.17,0.08,,,,,15.55,0.16,19.6,0.17,14.36,91,24,302,98,0,-79,24,102,77,-296,279,,,,,0.382,0.349,0.555,0.453,0.45,0.28,0.611,0.045,0.113,0.754,0.062,0.721,0.279,0.055,0.992,0.001,0.058,0.006,0.076,0.013,0.021,0.005,0.008,0.001,0.138,0.023,0.038,0.009,0.979,0.012,0.929,0.012,0.021,0,0.038,0.554549093876761,0.194757393954401,,,,
"J0925+1403",13,0,1,0.3013,200,3.4,7.91,0.03,"Z02",15010,1.15,0.22,0.028,32,12.6,8.7,80,0.727272727272727,5,0.045454545454546,1622,1620,1,185,6,350,30,4.34,0.19,1.55,0.04,11.01,0.94,0.29,0.03,0.063,-0.535,0.046,3.1,0.93,1.3E-14,9.86E-16,213000000000000,4.2,-30,-30,30,-160,20,150,20,310,28,-130,130,20,180,20,310,28,320,60,860,110,4.8,0.07,0.75,0.15,-64,48,1.41,0.28,2.6,0.2,4.4,0.164,0.015,0.242,0.072,17.81,3,3.26,15.37,0.45,14.4,0.38,,,14.99,0.21,19.08,0.21,13.8,81,73,,,0,-214,151,-64,71,-205,18,79,138,,,0.398,0.227,0.425,0.34,0.41,0.19,0.652,0.192,0.218,0.635,0.094,0.638,0.362,0.086,0.963,0.013,0.072,0.008,0.143,0.025,0.052,0.015,0.037,0.013,0.223,0.04,0.081,0.022,0.948,0.022,0.875,0.023,0.053,0,0.081,0.640442287432941,0.246775125163146,,,,
"J1152+3400",14,0,1,0.3419,200,2.8,8,0.07,"Z02",13430,0.59,0.18,0.017,24,35.5,9.4,75,0.681818181818182,6,0.054545454545455,1877,1888,0.99,198,8,255,12,3.66,0.68,1.3,0.23,10.75,0.51,0.34,0.07,0.087,-0.472,0.085,3.75,1.01,1.05E-14,9.5E-16,332000000000000,10.8,60,60,30,-120,40,190,30,310,50,-180,180,40,130,30,310,50,420,60,980,230,5.4,0.1,0.49,0.1,-336,129,0.39,0.08,4.1,,8.7,0.144,0.021,0.184,0.028,20.94,2.38,2.7,14.12,0.22,,,,,15.43,0.17,19.43,0.18,14.24,187,48,227,129,0,-346,28,-102,83,-312,307,,,,,0.274,0.263,0.228,0.553,0.27,0.24,0.629,0.05,0.069,0.619,0.088,0.625,0.375,0.054,0.923,0.021,0.132,0.011,0.181,0.045,0.068,0.02,0.077,0.021,0.268,0.067,0.101,0.024,0.932,0.031,0.813,0.02,0.068,0,0.101,0.676207525949619,0.391361141227821,,,,
"J1333+6246",15,0,1,0.3181,200,2.37,7.76,0.11,"Z005",17780,1.44,0.25,0.018,9,2.2,8.3,73,0.663636363636364,2,0.018181818181818,1726,1736,0.99,133,5,154,20,1.25,0.14,0.43,0.04,5.5,0.71,0.51,0.09,0.122,-0.297,0.077,1.66,0.76,1.16E-14,1.18E-15,142000000000000,2,-150,-150,20,-300,40,70,30,370,50,-150,150,40,220,30,370,50,280,51,679,86,4.8,0.15,0.75,0.16,-237,145,1.25,0.25,1.6,,2.61,0.151,0.043,0.29,0.04,21.14,0.7,1.46,14.26,0.21,,,15.73,0.23,15.54,0.35,19.78,0.37,14.35,102,19,287,277,0,-126,48,-213,152,-918,315,,,-111,157,0.293,0.259,0.564,0.354,0.39,0.21,0.731,0.064,0.122,0.826,0.066,0.804,0.196,0.058,0.987,0.005,0.056,0.015,0.167,0.085,0.033,0.019,0.013,0.005,0.252,0.128,0.049,0.024,0.967,0.07,0.854,0.041,0.033,0,0.049,0.663468028921516,0.110887438040059,,,,
"J1442-0209",16,0,1,0.2937,200,3.2,7.93,0.06,"Z02",14580,0.86,0.22,0.048,22,15.5,8.8,115,1.04545454545455,6,0.054545454545455,1575,1582,1,419,12,358,21.486,3.24,0.22,1.15,0.06,15.11,0.64,0.54,0.05,0.144,-0.27,0.039,4.68,0.72,2.12E-14,1.03E-15,235000000000000,4.4,-130,-130,20,-250,30,70,30,320,42,-120,120,30,200,30,320,42,371,53,752,91,6.7,0.09,0.65,0.13,-473,77,1.29,0.26,3.4,,3,0.14,0.015,0.229,0.044,19.6,3.29,3.53,,,,,,,15.62,0.58,19.69,0.58,14.43,123,183,178,145,0,-261,34,82,101,,,,,,,0.457,0.233,0.482,0.337,0.47,0.19,0.621,0.06,0.12,0.549,0.04,0.556,0.444,0.038,0.958,0.018,0.074,0.01,0.19,0.034,0.084,0.017,0.042,0.018,0.278,0.049,0.124,0.02,0.916,0.021,0.858,0.022,0.084,0,0.124,0.683596766838104,0.137869593008467,,,,
"Tol1247-232",19,0,1,0.0482,150,5,8.1,0.1,"Z02",,,,0.078,16,,9.7,29,0.263636363636364,2,0.018181818181818,223,223,1,,,6410,640,4.49,0.6,1.62,0.1,3.81,0.38,0.1,0.02,,-1.01,0.074,0.08,0.02,,,,8,-100,-100,50,-300,10,150,10,450,14,-200,200,10,250,10,450,14,453,89,1137,95,3.4,0,0.59,0.05,-62,8,,,,,4.62,0.195,0.028,0.182,0.021,21.89,0.16,1.05,15.23,0.05,14.59,0.14,,,15.29,0.43,19.19,0.44,14.1,66,87,278,168,0,194,41,58,143,123,86,272,51,,,,,0.26,0.01,0.26,0.01,0.486,0.035,0.061,0.561,0.071,0.518,0.482,0.046,0.935,0.013,0.004,0.002,0.099,0.033,0.048,0.017,0.065,0.013,0.168,0.056,0.081,0.022,0.952,0.018,,,,0,0.081,0.588708084702044,0.040942749357733,,,,
"J0926+4427",6,0,0,0.18069,20,7.33,8.01,0.05,"Z02",,,1.09,0.02,22.7,,9.9,59,0.536363636363636,12,0.109090909090909,911,875,1.04,,5.4,600,30,3.35,0.67,,,5.96,1.19,0.2,0.06,0.04,-0.689,0.123,1.51,0.1,3.19,0.15,0.486,,-80,-80,30,-250,50,160,50,410,71,-170,170,50,240,50,410,71,383,46,744,20,3.2,0,0.37,0.13,-335,20,1.28,0.18,,,1.76,0.175,0.01,0.174,0.012,16.39,0.22,0.4,14.76,0.05,,,14.23,0.54,15.77,0.02,19.76,0.05,14.58,213,23,118,5,3,-199,12,-141,4,-365,18,,,-120,53,0.367,0.194,0.363,0.063,0.36,0.06,0.673,0.032,0.04,0.814,0.048,0.731,0.269,0.031,0.957,0.006,,,,,0.034,0.006,0.043,0.006,0.202,0.024,0.054,0.008,0.966,0.014,0.879,0.01,0.112,0,0.054,0.621584247752523,,,,,
"J1429+0643",7,0,0,0.1736,20,4.3,8.2,0.05,"Z04",,,,0.022,61.7,,10.1,36,0.327272727272727,3,0.027272727272727,872,837,1.04,,4.8,528,30,5,1.1,1.92,0.02,4.8,0.96,0.1,0.03,0.021,-0.997,0.123,0.82,0.09,2.79,0.11,0.297,,18,18,30,-220,50,240,40,460,64,-238,238,50,222,40,460,64,420,50,760,40,4.1,,,,,,,,,,2.53,0.165,0.02,0.153,0.015,16.17,0.38,0.5,15.09,0.06,,,15.09,0.06,15.55,0.24,19.35,0.25,14.36,236,56,218,74,0,-220,36,-43,98,-288,26,,,-203,17,0.734,0.255,0.775,0.11,0.77,0.1,0.898,0.067,0.071,0.955,0.061,0.931,0.069,0.046,0.981,0.006,,,,,0.01,0.007,0.019,0.006,0.221,0.053,0.015,0.011,0.99,0.034,0.952,0.034,0.13,0,0.015,0.638704535302591,,,,,
"GP0303-0759",2,0,0,0.16488,20,2.1,7.86,0.05,"Z005",,,0.56,0.1,7.6,,8.89,13,0.118181818181818,4,0.036363636363636,824,791,1.04,,0,110,20,1.88,0.38,,,0.89,0.18,0.05,0.02,0.017,-1.264,0.123,0.29,0.2,0.74,0.07,0.338,,-90,-90,50,-310,20,150,10,460,22,-220,220,20,240,10,460,22,380,50,650,90,7.3,0,,,,,1.3,0.2,,,4.16,0.121,0.045,0.153,0.043,16.07,0.99,1.5,14.04,0.98,,,,,15.41,0.18,19.55,0.19,14.22,192,99,209,84,31,-266,92,31,70,-209,10,,,,,0.544,0.287,0.47,0.116,0.48,0.11,0.908,0.197,0.207,0.981,0.109,0.908,0.092,0.207,0.982,0.034,,,,,0.022,0.051,0.018,0.034,0.331,0.177,0.03,0.069,0.978,0.126,0.835,0.093,0.223,0,0.03,0.719813520677086,,,,,
